{file: Rasputin_Win-0.png; pivotX: 92.86912; pivotY: 313.7953}
{file: Rasputin_Win-1.png; pivotX: 91.84669; pivotY: 315.909}
{file: Rasputin_Win-2.png; pivotX: 90.82875; pivotY: 317.1285}
{file: Rasputin_Win-3.png; pivotX: 89.66059; pivotY: 319.3045}
{file: Rasputin_Win-4.png; pivotX: 88.48099; pivotY: 320.4829}
{file: Rasputin_Win-5.png; pivotX: 87.13765; pivotY: 322.6553}
{file: Rasputin_Win-6.png; pivotX: 85.4605; pivotY: 323.4181}
{file: Rasputin_Win-7.png; pivotX: 83.56319; pivotY: 325.746}
{file: Rasputin_Win-8.png; pivotX: 82.16438; pivotY: 326.4844}
{file: Rasputin_Win-9.png; pivotX: 80.92249; pivotY: 328.3058}
{file: Rasputin_Win-10.png; pivotX: 80.05506; pivotY: 329.1353}
{file: Rasputin_Win-11.png; pivotX: 79.84241; pivotY: 331.119}
{file: Rasputin_Win-12.png; pivotX: 79.78127; pivotY: 333.0293}
{file: Rasputin_Win-13.png; pivotX: 80.34667; pivotY: 334.963}
{file: Rasputin_Win-14.png; pivotX: 80.12643; pivotY: 336.9607}
{file: Rasputin_Win-15.png; pivotX: 80.59572; pivotY: 338.0665}
{file: Rasputin_Win-16.png; pivotX: 81.31521; pivotY: 340.0627}
{file: Rasputin_Win-17.png; pivotX: 81.60915; pivotY: 342.01}
{file: Rasputin_Win-18.png; pivotX: 82.43308; pivotY: 343.0445}
{file: Rasputin_Win-19.png; pivotX: 82.82886; pivotY: 344.1245}
{file: Rasputin_Win-20.png; pivotX: 83.48095; pivotY: 345.1791}
{file: Rasputin_Win-21.png; pivotX: 84.18954; pivotY: 346.2018}
{file: Rasputin_Win-22.png; pivotX: 85.82981; pivotY: 346.2594}
{file: Rasputin_Win-23.png; pivotX: 89.95563; pivotY: 347.2851}
{file: Rasputin_Win-24.png; pivotX: 94.54494; pivotY: 347.3009}
{file: Rasputin_Win-25.png; pivotX: 101.3262; pivotY: 347.2934}
{file: Rasputin_Win-26.png; pivotX: 107.5374; pivotY: 347.2908}
{file: Rasputin_Win-27.png; pivotX: 113.1595; pivotY: 347.2978}
{file: Rasputin_Win-28.png; pivotX: 116.5939; pivotY: 347.3202}
{file: Rasputin_Win-29.png; pivotX: 119.2774; pivotY: 346.3951}
{file: Rasputin_Win-30.png; pivotX: 120.5165; pivotY: 346.4315}
{file: Rasputin_Win-31.png; pivotX: 121.4505; pivotY: 346.4473}
{file: Rasputin_Win-32.png; pivotX: 121.3078; pivotY: 346.4532}
{file: Rasputin_Win-33.png; pivotX: 120.136; pivotY: 345.462}
{file: Rasputin_Win-34.png; pivotX: 118.1259; pivotY: 345.4169}
{file: Rasputin_Win-35.png; pivotX: 115.3636; pivotY: 345.3665}
{file: Rasputin_Win-36.png; pivotX: 113.0151; pivotY: 345.3218}
{file: Rasputin_Win-37.png; pivotX: 110.292; pivotY: 345.2921}
{file: Rasputin_Win-38.png; pivotX: 108.869; pivotY: 345.2493}
{file: Rasputin_Win-39.png; pivotX: 108.0619; pivotY: 345.2224}
{file: Rasputin_Win-40.png; pivotX: 109.8129; pivotY: 345.2474}
{file: Rasputin_Win-41.png; pivotX: 114.4275; pivotY: 346.355}
{file: Rasputin_Win-42.png; pivotX: 121.8117; pivotY: 347.0656}
{file: Rasputin_Win-43.png; pivotX: 130.6816; pivotY: 347.6611}
{file: Rasputin_Win-44.png; pivotX: 140.3144; pivotY: 348.1623}
{file: Rasputin_Win-45.png; pivotX: 148.9609; pivotY: 348.6447}
{file: Rasputin_Win-46.png; pivotX: 155.5151; pivotY: 349.208}
{file: Rasputin_Win-47.png; pivotX: 158.5565; pivotY: 349.9589}
{file: Rasputin_Win-48.png; pivotX: 157.9939; pivotY: 350.8886}
