{file: Rasputin_Win-0.png; posX: 2.980232E-10; posY: 0}
{file: Rasputin_Win-1.png; posX: -0.008724038; posY: 0.004436433}
{file: Rasputin_Win-2.png; posX: -0.01746692; posY: 0.00880301}
{file: Rasputin_Win-3.png; posX: -0.02621923; posY: 0.01315367}
{file: Rasputin_Win-4.png; posX: -0.03497154; posY: 0.017542}
{file: Rasputin_Win-5.png; posX: -0.04371443; posY: 0.02202195}
{file: Rasputin_Win-6.png; posX: -0.05243846; posY: 0.02664727}
{file: Rasputin_Win-7.png; posX: -0.06113424; posY: 0.03147167}
{file: Rasputin_Win-8.png; posX: -0.06979232; posY: 0.03654897}
{file: Rasputin_Win-9.png; posX: -0.07840327; posY: 0.04193294}
{file: Rasputin_Win-10.png; posX: -0.08695791; posY: 0.0476774}
{file: Rasputin_Win-11.png; posX: -0.08773039; posY: 0.05383611}
{file: Rasputin_Win-12.png; posX: -0.0867222; posY: 0.06046283}
{file: Rasputin_Win-13.png; posX: -0.08524939; posY: 0.06761146}
{file: Rasputin_Win-14.png; posX: -0.08400472; posY: 0.07533562}
{file: Rasputin_Win-15.png; posX: -0.08257888; posY: 0.08292705}
{file: Rasputin_Win-16.png; posX: -0.08085649; posY: 0.08967048}
{file: Rasputin_Win-17.png; posX: -0.07872219; posY: 0.09560925}
{file: Rasputin_Win-18.png; posX: -0.07606056; posY: 0.1007867}
{file: Rasputin_Win-19.png; posX: -0.07275624; posY: 0.1052462}
{file: Rasputin_Win-20.png; posX: -0.06869385; posY: 0.1090313}
{file: Rasputin_Win-21.png; posX: -0.06391121; posY: 0.1121851}
{file: Rasputin_Win-22.png; posX: -0.05860798; posY: 0.114751}
{file: Rasputin_Win-23.png; posX: -0.05291148; posY: 0.1167726}
{file: Rasputin_Win-24.png; posX: -0.04694907; posY: 0.118293}
{file: Rasputin_Win-25.png; posX: -0.04084808; posY: 0.1193557}
{file: Rasputin_Win-26.png; posX: -0.03473585; posY: 0.1200041}
{file: Rasputin_Win-27.png; posX: -0.02873973; posY: 0.1202815}
{file: Rasputin_Win-28.png; posX: -0.02298705; posY: 0.1202313}
{file: Rasputin_Win-29.png; posX: -0.01760517; posY: 0.1198968}
{file: Rasputin_Win-30.png; posX: -0.01265792; posY: 0.1193215}
{file: Rasputin_Win-31.png; posX: -0.008064695; posY: 0.1185486}
{file: Rasputin_Win-32.png; posX: -0.003736228; posY: 0.1176215}
{file: Rasputin_Win-33.png; posX: 0.0004168019; posY: 0.1165838}
{file: Rasputin_Win-34.png; posX: 0.004458738; posY: 0.1154785}
{file: Rasputin_Win-35.png; posX: 0.00843511; posY: 0.1143492}
{file: Rasputin_Win-36.png; posX: 0.01240693; posY: 0.1132393}
{file: Rasputin_Win-37.png; posX: 0.01643525; posY: 0.112192}
{file: Rasputin_Win-38.png; posX: 0.02058113; posY: 0.1112509}
{file: Rasputin_Win-39.png; posX: 0.02499561; posY: 0.1108705}
{file: Rasputin_Win-40.png; posX: 0.02982565; posY: 0.1113932}
{file: Rasputin_Win-41.png; posX: 0.03484193; posY: 0.1126932}
{file: Rasputin_Win-42.png; posX: 0.03977878; posY: 0.1146451}
{file: Rasputin_Win-43.png; posX: 0.04463654; posY: 0.1171232}
{file: Rasputin_Win-44.png; posX: 0.04955298; posY: 0.1200019}
{file: Rasputin_Win-45.png; posX: 0.05476819; posY: 0.1231557}
{file: Rasputin_Win-46.png; posX: 0.06043604; posY: 0.126459}
{file: Rasputin_Win-47.png; posX: 0.06671035; posY: 0.1297862}
{file: Rasputin_Win-48.png; posX: 0.073745; posY: 0.1330116}
{file: Rasputin_Win-49.png; posX: 0.08169389; posY: 0.1360098}
{file: Rasputin_Win-50.png; posX: 0.09071079; posY: 0.1386551}
{file: Rasputin_Win-51.png; posX: 0.1007055; posY: 0.1408219}
{file: Rasputin_Win-52.png; posX: 0.1113483; posY: 0.1423847}
{file: Rasputin_Win-53.png; posX: 0.1224338; posY: 0.1436868}
{file: Rasputin_Win-54.png; posX: 0.1337568; posY: 0.1451345}
{file: Rasputin_Win-55.png; posX: 0.1451118; posY: 0.1466969}
{file: Rasputin_Win-56.png; posX: 0.1562937; posY: 0.1483427}
{file: Rasputin_Win-57.png; posX: 0.1670969; posY: 0.1500411}
{file: Rasputin_Win-58.png; posX: 0.1775579; posY: 0.1517609}
{file: Rasputin_Win-59.png; posX: 0.187454; posY: 0.1534709}
{file: Rasputin_Win-60.png; posX: 0.1961913; posY: 0.1551403}
{file: Rasputin_Win-61.png; posX: 0.2031759; posY: 0.1567379}
{file: Rasputin_Win-62.png; posX: 0.2089513; posY: 0.1582327}
{file: Rasputin_Win-63.png; posX: 0.214398; posY: 0.1595935}
{file: Rasputin_Win-64.png; posX: 0.2194278; posY: 0.1607894}
{file: Rasputin_Win-65.png; posX: 0.2239526; posY: 0.1617892}
{file: Rasputin_Win-66.png; posX: 0.2278842; posY: 0.1625619}
{file: Rasputin_Win-67.png; posX: 0.2311343; posY: 0.1630765}
{file: Rasputin_Win-68.png; posX: 0.2336148; posY: 0.1633018}
{file: Rasputin_Win-69.png; posX: 0.2352376; posY: 0.1632068}
{file: Rasputin_Win-70.png; posX: 0.2359144; posY: 0.1625834}
{file: Rasputin_Win-71.png; posX: 0.235557; posY: 0.1613402}
{file: Rasputin_Win-72.png; posX: 0.2340773; posY: 0.1596214}
{file: Rasputin_Win-73.png; posX: 0.2316723; posY: 0.1575708}
{file: Rasputin_Win-74.png; posX: 0.2287243; posY: 0.1553325}
{file: Rasputin_Win-75.png; posX: 0.2254229; posY: 0.1530505}
{file: Rasputin_Win-76.png; posX: 0.2219578; posY: 0.1508688}
{file: Rasputin_Win-77.png; posX: 0.2185186; posY: 0.1489316}
{file: Rasputin_Win-78.png; posX: 0.215295; posY: 0.1473826}
{file: Rasputin_Win-79.png; posX: 0.2124768; posY: 0.146366}
{file: Rasputin_Win-80.png; posX: 0.2102534; posY: 0.1460258}
{file: Rasputin_Win-81.png; posX: 0.2084276; posY: 0.146506}
{file: Rasputin_Win-82.png; posX: 0.2065145; posY: 0.1479506}
