{file: DummyMale_Block_Loop-0.png; pivotX: 117.0964; pivotY: 329.6514}
{file: DummyMale_Block_Loop-1.png; pivotX: 117.1659; pivotY: 330.5968}
{file: DummyMale_Block_Loop-2.png; pivotX: 117.223; pivotY: 330.5838}
{file: DummyMale_Block_Loop-3.png; pivotX: 116.7845; pivotY: 330.568}
{file: DummyMale_Block_Loop-4.png; pivotX: 116.8483; pivotY: 330.5522}
{file: DummyMale_Block_Loop-5.png; pivotX: 116.9108; pivotY: 330.5401}
{file: DummyMale_Block_Loop-6.png; pivotX: 116.9711; pivotY: 330.5204}
{file: DummyMale_Block_Loop-7.png; pivotX: 117.0351; pivotY: 330.5054}
{file: DummyMale_Block_Loop-8.png; pivotX: 117.1098; pivotY: 331.4691}
{file: DummyMale_Block_Loop-9.png; pivotX: 117.1771; pivotY: 331.4476}
{file: DummyMale_Block_Loop-10.png; pivotX: 117.2502; pivotY: 331.4474}
{file: DummyMale_Block_Loop-11.png; pivotX: 117.325; pivotY: 331.4341}
{file: DummyMale_Block_Loop-12.png; pivotX: 117.4107; pivotY: 331.4263}
{file: DummyMale_Block_Loop-13.png; pivotX: 117.495; pivotY: 331.4232}
{file: DummyMale_Block_Loop-14.png; pivotX: 117.5868; pivotY: 331.4116}
{file: DummyMale_Block_Loop-15.png; pivotX: 117.6909; pivotY: 331.4105}
{file: DummyMale_Block_Loop-16.png; pivotX: 117.7919; pivotY: 331.4011}
{file: DummyMale_Block_Loop-17.png; pivotX: 117.9056; pivotY: 331.3976}
{file: DummyMale_Block_Loop-18.png; pivotX: 118.0378; pivotY: 332.3643}
{file: DummyMale_Block_Loop-19.png; pivotX: 118.1718; pivotY: 332.3608}
{file: DummyMale_Block_Loop-20.png; pivotX: 118.3037; pivotY: 332.3578}
{file: DummyMale_Block_Loop-21.png; pivotX: 118.4431; pivotY: 332.3539}
{file: DummyMale_Block_Loop-22.png; pivotX: 118.5985; pivotY: 332.3535}
{file: DummyMale_Block_Loop-23.png; pivotX: 118.7428; pivotY: 332.3489}
{file: DummyMale_Block_Loop-24.png; pivotX: 118.899; pivotY: 332.3505}
{file: DummyMale_Block_Loop-25.png; pivotX: 119.0578; pivotY: 332.3467}
{file: DummyMale_Block_Loop-26.png; pivotX: 119.2129; pivotY: 332.3402}
{file: DummyMale_Block_Loop-27.png; pivotX: 119.3721; pivotY: 332.3372}
{file: DummyMale_Block_Loop-28.png; pivotX: 119.5217; pivotY: 331.3681}
{file: DummyMale_Block_Loop-29.png; pivotX: 119.6867; pivotY: 331.3596}
{file: DummyMale_Block_Loop-30.png; pivotX: 119.846; pivotY: 331.356}
{file: DummyMale_Block_Loop-31.png; pivotX: 120.0009; pivotY: 331.3444}
{file: DummyMale_Block_Loop-32.png; pivotX: 120.1559; pivotY: 331.3328}
{file: DummyMale_Block_Loop-33.png; pivotX: 120.3119; pivotY: 331.3237}
{file: DummyMale_Block_Loop-34.png; pivotX: 119.9604; pivotY: 331.3093}
{file: DummyMale_Block_Loop-35.png; pivotX: 120.0997; pivotY: 331.2974}
{file: DummyMale_Block_Loop-36.png; pivotX: 120.2405; pivotY: 331.2778}
{file: DummyMale_Block_Loop-37.png; pivotX: 120.3737; pivotY: 331.2567}
{file: DummyMale_Block_Loop-38.png; pivotX: 120.5142; pivotY: 331.2317}
{file: DummyMale_Block_Loop-39.png; pivotX: 120.6563; pivotY: 331.196}
{file: DummyMale_Block_Loop-40.png; pivotX: 120.8057; pivotY: 331.1576}
{file: DummyMale_Block_Loop-41.png; pivotX: 120.9725; pivotY: 331.1176}
{file: DummyMale_Block_Loop-42.png; pivotX: 120.6537; pivotY: 332.0357}
{file: DummyMale_Block_Loop-43.png; pivotX: 120.8151; pivotY: 331.9879}
{file: DummyMale_Block_Loop-44.png; pivotX: 120.9631; pivotY: 331.933}
{file: DummyMale_Block_Loop-45.png; pivotX: 121.0996; pivotY: 331.8776}
{file: DummyMale_Block_Loop-46.png; pivotX: 121.2178; pivotY: 331.8162}
{file: DummyMale_Block_Loop-47.png; pivotX: 120.8174; pivotY: 331.756}
{file: DummyMale_Block_Loop-48.png; pivotX: 120.9031; pivotY: 331.6906}
{file: DummyMale_Block_Loop-49.png; pivotX: 120.9577; pivotY: 331.6269}
{file: DummyMale_Block_Loop-50.png; pivotX: 120.9982; pivotY: 331.5622}
{file: DummyMale_Block_Loop-51.png; pivotX: 120.5264; pivotY: 331.5084}
{file: DummyMale_Block_Loop-52.png; pivotX: 120.5196; pivotY: 331.4502}
{file: DummyMale_Block_Loop-53.png; pivotX: 120.4965; pivotY: 331.3986}
{file: DummyMale_Block_Loop-54.png; pivotX: 120.4503; pivotY: 331.3549}
{file: DummyMale_Block_Loop-55.png; pivotX: 120.3833; pivotY: 331.3172}
{file: DummyMale_Block_Loop-56.png; pivotX: 120.306; pivotY: 331.2971}
{file: DummyMale_Block_Loop-57.png; pivotX: 120.1867; pivotY: 330.317}
{file: DummyMale_Block_Loop-58.png; pivotX: 120.0832; pivotY: 330.3122}
{file: DummyMale_Block_Loop-59.png; pivotX: 119.9624; pivotY: 330.314}
{file: DummyMale_Block_Loop-60.png; pivotX: 119.8247; pivotY: 330.325}
{file: DummyMale_Block_Loop-61.png; pivotX: 119.6588; pivotY: 329.3734}
{file: DummyMale_Block_Loop-62.png; pivotX: 119.4957; pivotY: 329.3899}
{file: DummyMale_Block_Loop-63.png; pivotX: 119.3263; pivotY: 329.4111}
{file: DummyMale_Block_Loop-64.png; pivotX: 119.1306; pivotY: 328.4691}
{file: DummyMale_Block_Loop-65.png; pivotX: 118.9376; pivotY: 328.4871}
{file: DummyMale_Block_Loop-66.png; pivotX: 118.7433; pivotY: 328.5106}
{file: DummyMale_Block_Loop-67.png; pivotX: 119.0216; pivotY: 327.5705}
{file: DummyMale_Block_Loop-68.png; pivotX: 118.8185; pivotY: 327.59}
{file: DummyMale_Block_Loop-69.png; pivotX: 118.6078; pivotY: 327.6028}
{file: DummyMale_Block_Loop-70.png; pivotX: 118.3974; pivotY: 327.6147}
{file: DummyMale_Block_Loop-71.png; pivotX: 118.1723; pivotY: 326.6653}
{file: DummyMale_Block_Loop-72.png; pivotX: 117.9612; pivotY: 326.6836}
{file: DummyMale_Block_Loop-73.png; pivotX: 117.7458; pivotY: 326.7079}
{file: DummyMale_Block_Loop-74.png; pivotX: 117.5183; pivotY: 326.7375}
{file: DummyMale_Block_Loop-75.png; pivotX: 117.2941; pivotY: 325.8075}
{file: DummyMale_Block_Loop-76.png; pivotX: 117.5758; pivotY: 325.8488}
{file: DummyMale_Block_Loop-77.png; pivotX: 117.3569; pivotY: 325.8941}
{file: DummyMale_Block_Loop-78.png; pivotX: 117.1322; pivotY: 324.9767}
{file: DummyMale_Block_Loop-79.png; pivotX: 116.9246; pivotY: 325.0303}
{file: DummyMale_Block_Loop-80.png; pivotX: 116.7168; pivotY: 325.0906}
{file: DummyMale_Block_Loop-81.png; pivotX: 117.049; pivotY: 324.1859}
{file: DummyMale_Block_Loop-82.png; pivotX: 116.9025; pivotY: 324.2521}
{file: DummyMale_Block_Loop-83.png; pivotX: 116.7605; pivotY: 324.3209}
{file: DummyMale_Block_Loop-84.png; pivotX: 117.1176; pivotY: 323.4193}
{file: DummyMale_Block_Loop-85.png; pivotX: 116.9788; pivotY: 323.4786}
{file: DummyMale_Block_Loop-86.png; pivotX: 116.8473; pivotY: 323.5391}
{file: DummyMale_Block_Loop-87.png; pivotX: 116.7244; pivotY: 323.5947}
{file: DummyMale_Block_Loop-88.png; pivotX: 117.097; pivotY: 322.6799}
{file: DummyMale_Block_Loop-89.png; pivotX: 116.9803; pivotY: 322.7302}
{file: DummyMale_Block_Loop-90.png; pivotX: 116.8628; pivotY: 322.7796}
{file: DummyMale_Block_Loop-91.png; pivotX: 116.7393; pivotY: 322.8293}
{file: DummyMale_Block_Loop-92.png; pivotX: 117.1161; pivotY: 322.8759}
{file: DummyMale_Block_Loop-93.png; pivotX: 116.9906; pivotY: 322.9214}
{file: DummyMale_Block_Loop-94.png; pivotX: 116.8672; pivotY: 322.9672}
{file: DummyMale_Block_Loop-95.png; pivotX: 116.7486; pivotY: 323.0086}
{file: DummyMale_Block_Loop-96.png; pivotX: 116.6364; pivotY: 323.0491}
{file: DummyMale_Block_Loop-97.png; pivotX: 116.5226; pivotY: 323.0888}
{file: DummyMale_Block_Loop-98.png; pivotX: 116.9174; pivotY: 323.128}
{file: DummyMale_Block_Loop-99.png; pivotX: 116.8172; pivotY: 323.1628}
{file: DummyMale_Block_Loop-100.png; pivotX: 116.7219; pivotY: 323.196}
{file: DummyMale_Block_Loop-101.png; pivotX: 116.6424; pivotY: 323.2276}
{file: DummyMale_Block_Loop-102.png; pivotX: 116.5668; pivotY: 323.2588}
{file: DummyMale_Block_Loop-103.png; pivotX: 116.4984; pivotY: 323.2849}
{file: DummyMale_Block_Loop-104.png; pivotX: 116.4461; pivotY: 323.3101}
{file: DummyMale_Block_Loop-105.png; pivotX: 116.4049; pivotY: 323.3306}
{file: DummyMale_Block_Loop-106.png; pivotX: 116.8745; pivotY: 323.349}
{file: DummyMale_Block_Loop-107.png; pivotX: 116.8563; pivotY: 323.3644}
{file: DummyMale_Block_Loop-108.png; pivotX: 116.8447; pivotY: 323.3743}
{file: DummyMale_Block_Loop-109.png; pivotX: 116.8525; pivotY: 323.3785}
{file: DummyMale_Block_Loop-110.png; pivotX: 116.866; pivotY: 324.353}
{file: DummyMale_Block_Loop-111.png; pivotX: 116.8876; pivotY: 324.3494}
{file: DummyMale_Block_Loop-112.png; pivotX: 116.9258; pivotY: 324.3474}
{file: DummyMale_Block_Loop-113.png; pivotX: 116.4596; pivotY: 324.3381}
{file: DummyMale_Block_Loop-114.png; pivotX: 116.5038; pivotY: 324.3285}
{file: DummyMale_Block_Loop-115.png; pivotX: 116.5549; pivotY: 325.2856}
{file: DummyMale_Block_Loop-116.png; pivotX: 116.6037; pivotY: 325.2709}
{file: DummyMale_Block_Loop-117.png; pivotX: 116.6655; pivotY: 325.2572}
{file: DummyMale_Block_Loop-118.png; pivotX: 116.72; pivotY: 325.2417}
{file: DummyMale_Block_Loop-119.png; pivotX: 116.7781; pivotY: 325.2219}
{file: DummyMale_Block_Loop-120.png; pivotX: 116.8353; pivotY: 326.174}
