{file: DummyMale_Block_Loop-0.png; posX: -0.1283499; posY: 0.8150252}
{file: DummyMale_Block_Loop-1.png; posX: -0.1288794; posY: 0.8156142}
{file: DummyMale_Block_Loop-2.png; posX: -0.1294093; posY: 0.8162033}
{file: DummyMale_Block_Loop-3.png; posX: -0.1299404; posY: 0.8167908}
{file: DummyMale_Block_Loop-4.png; posX: -0.1304737; posY: 0.8173753}
{file: DummyMale_Block_Loop-5.png; posX: -0.1310102; posY: 0.8179552}
{file: DummyMale_Block_Loop-6.png; posX: -0.1315507; posY: 0.8185291}
{file: DummyMale_Block_Loop-7.png; posX: -0.1320962; posY: 0.8190953}
{file: DummyMale_Block_Loop-8.png; posX: -0.1326476; posY: 0.8196525}
{file: DummyMale_Block_Loop-9.png; posX: -0.1332058; posY: 0.820199}
{file: DummyMale_Block_Loop-10.png; posX: -0.1337718; posY: 0.8207334}
{file: DummyMale_Block_Loop-11.png; posX: -0.1343465; posY: 0.8212541}
{file: DummyMale_Block_Loop-12.png; posX: -0.1349308; posY: 0.8217596}
{file: DummyMale_Block_Loop-13.png; posX: -0.1355257; posY: 0.8222485}
{file: DummyMale_Block_Loop-14.png; posX: -0.1361321; posY: 0.8227191}
{file: DummyMale_Block_Loop-15.png; posX: -0.1367508; posY: 0.82317}
{file: DummyMale_Block_Loop-16.png; posX: -0.1373829; posY: 0.8235996}
{file: DummyMale_Block_Loop-17.png; posX: -0.1380293; posY: 0.8240065}
{file: DummyMale_Block_Loop-18.png; posX: -0.1386908; posY: 0.824389}
{file: DummyMale_Block_Loop-19.png; posX: -0.1393685; posY: 0.8247458}
{file: DummyMale_Block_Loop-20.png; posX: -0.1400632; posY: 0.8250753}
{file: DummyMale_Block_Loop-21.png; posX: -0.1407759; posY: 0.8253759}
{file: DummyMale_Block_Loop-22.png; posX: -0.1415075; posY: 0.8256462}
{file: DummyMale_Block_Loop-23.png; posX: -0.1422589; posY: 0.8258845}
{file: DummyMale_Block_Loop-24.png; posX: -0.1430311; posY: 0.8260895}
{file: DummyMale_Block_Loop-25.png; posX: -0.143825; posY: 0.8262596}
{file: DummyMale_Block_Loop-26.png; posX: -0.1446415; posY: 0.8263932}
{file: DummyMale_Block_Loop-27.png; posX: -0.1454815; posY: 0.8264889}
{file: DummyMale_Block_Loop-28.png; posX: -0.146346; posY: 0.8265451}
