{file: DummyMale_Dash_Backward-0.png; pivotX: 91.10917; pivotY: 313.936}
{file: DummyMale_Dash_Backward-1.png; pivotX: 90.26846; pivotY: 302.5504}
{file: DummyMale_Dash_Backward-2.png; pivotX: 99.43852; pivotY: 286.0584}
{file: DummyMale_Dash_Backward-3.png; pivotX: 106.0155; pivotY: 268.1704}
{file: DummyMale_Dash_Backward-4.png; pivotX: 112.6828; pivotY: 252.1667}
{file: DummyMale_Dash_Backward-5.png; pivotX: 118.4285; pivotY: 240.6785}
{file: DummyMale_Dash_Backward-6.png; pivotX: 120.6828; pivotY: 241.2183}
{file: DummyMale_Dash_Backward-7.png; pivotX: 112.1874; pivotY: 264.4822}
{file: DummyMale_Dash_Backward-8.png; pivotX: 102.6749; pivotY: 295.326}
{file: DummyMale_Dash_Backward-9.png; pivotX: 93.07611; pivotY: 320.1537}
{file: DummyMale_Dash_Backward-10.png; pivotX: 91.31723; pivotY: 330.6236}
{file: DummyMale_Dash_Backward-11.png; pivotX: 92.15649; pivotY: 336.6116}
{file: DummyMale_Dash_Backward-12.png; pivotX: 95.61636; pivotY: 339.1264}
{file: DummyMale_Dash_Backward-13.png; pivotX: 100.7305; pivotY: 339.9198}
{file: DummyMale_Dash_Backward-14.png; pivotX: 107.174; pivotY: 338.3317}
{file: DummyMale_Dash_Backward-15.png; pivotX: 114.7736; pivotY: 335.4123}
{file: DummyMale_Dash_Backward-16.png; pivotX: 123.6395; pivotY: 333.3192}
{file: DummyMale_Dash_Backward-17.png; pivotX: 132.4701; pivotY: 329.4865}
{file: DummyMale_Dash_Backward-18.png; pivotX: 139.4781; pivotY: 325.4934}
{file: DummyMale_Dash_Backward-19.png; pivotX: 144.244; pivotY: 321.7279}
{file: DummyMale_Dash_Backward-20.png; pivotX: 146.4381; pivotY: 317.8195}
{file: DummyMale_Dash_Backward-21.png; pivotX: 147.5539; pivotY: 313.2809}
{file: DummyMale_Dash_Backward-22.png; pivotX: 148.219; pivotY: 309.3625}
{file: DummyMale_Dash_Backward-23.png; pivotX: 148.7055; pivotY: 306.0634}
{file: DummyMale_Dash_Backward-24.png; pivotX: 148.3271; pivotY: 301.7785}
{file: DummyMale_Dash_Backward-25.png; pivotX: 145.6647; pivotY: 297.824}
{file: DummyMale_Dash_Backward-26.png; pivotX: 141.0118; pivotY: 294.7173}
{file: DummyMale_Dash_Backward-27.png; pivotX: 135.7481; pivotY: 291.7615}
{file: DummyMale_Dash_Backward-28.png; pivotX: 131.0757; pivotY: 289.6086}
{file: DummyMale_Dash_Backward-29.png; pivotX: 139.9586; pivotY: 288.8586}
{file: DummyMale_Dash_Backward-30.png; pivotX: 157.7391; pivotY: 288.0815}
{file: DummyMale_Dash_Backward-31.png; pivotX: 170.9646; pivotY: 289.4909}
{file: DummyMale_Dash_Backward-32.png; pivotX: 168.4664; pivotY: 290.2451}
{file: DummyMale_Dash_Backward-33.png; pivotX: 160.9869; pivotY: 292.5702}
{file: DummyMale_Dash_Backward-34.png; pivotX: 151.9721; pivotY: 294.062}
{file: DummyMale_Dash_Backward-35.png; pivotX: 144.8584; pivotY: 295.3724}
{file: DummyMale_Dash_Backward-36.png; pivotX: 137.77; pivotY: 296.9254}
{file: DummyMale_Dash_Backward-37.png; pivotX: 130.7306; pivotY: 298.8718}
{file: DummyMale_Dash_Backward-38.png; pivotX: 124.0714; pivotY: 302.0566}
{file: DummyMale_Dash_Backward-39.png; pivotX: 117.3963; pivotY: 306.4868}
{file: DummyMale_Dash_Backward-40.png; pivotX: 111.5106; pivotY: 310.0523}
{file: DummyMale_Dash_Backward-41.png; pivotX: 105.9024; pivotY: 313.9666}
{file: DummyMale_Dash_Backward-42.png; pivotX: 99.74574; pivotY: 317.0975}
{file: DummyMale_Dash_Backward-43.png; pivotX: 95.26838; pivotY: 318.2968}
{file: DummyMale_Dash_Backward-44.png; pivotX: 95.38356; pivotY: 318.2034}
{file: DummyMale_Dash_Backward-45.png; pivotX: 94.76826; pivotY: 317.9919}
{file: DummyMale_Dash_Backward-46.png; pivotX: 93.72495; pivotY: 316.7483}
{file: DummyMale_Dash_Backward-47.png; pivotX: 92.46513; pivotY: 315.6548}
