{file: DummyMale_Dash_Backward-0.png; posX: 0; posY: 0.7711523}
{file: DummyMale_Dash_Backward-1.png; posX: 0.007807709; posY: 0.7202945}
{file: DummyMale_Dash_Backward-2.png; posX: 0.01597865; posY: 0.6603593}
{file: DummyMale_Dash_Backward-3.png; posX: 0.02413025; posY: 0.6009076}
{file: DummyMale_Dash_Backward-4.png; posX: 0.03171362; posY: 0.5556566}
{file: DummyMale_Dash_Backward-5.png; posX: 0.03852635; posY: 0.5317637}
{file: DummyMale_Dash_Backward-6.png; posX: 0.04302606; posY: 0.5556839}
{file: DummyMale_Dash_Backward-7.png; posX: 0.04345768; posY: 0.655602}
{file: DummyMale_Dash_Backward-8.png; posX: 0.04289502; posY: 0.7899431}
{file: DummyMale_Dash_Backward-9.png; posX: 0.04602262; posY: 0.8967311}
{file: DummyMale_Dash_Backward-10.png; posX: 0.05584472; posY: 0.9419172}
{file: DummyMale_Dash_Backward-11.png; posX: 0.06981365; posY: 0.9572969}
{file: DummyMale_Dash_Backward-12.png; posX: 0.08545008; posY: 0.9633122}
{file: DummyMale_Dash_Backward-13.png; posX: 0.1009318; posY: 0.9600839}
{file: DummyMale_Dash_Backward-14.png; posX: 0.1136014; posY: 0.9539205}
{file: DummyMale_Dash_Backward-15.png; posX: 0.1215696; posY: 0.9475567}
{file: DummyMale_Dash_Backward-16.png; posX: 0.1254016; posY: 0.9392369}
{file: DummyMale_Dash_Backward-17.png; posX: 0.1261209; posY: 0.9285343}
{file: DummyMale_Dash_Backward-18.png; posX: 0.1247514; posY: 0.9150219}
{file: DummyMale_Dash_Backward-19.png; posX: 0.1223168; posY: 0.8982728}
{file: DummyMale_Dash_Backward-20.png; posX: 0.1198888; posY: 0.8783451}
{file: DummyMale_Dash_Backward-21.png; posX: 0.1177702; posY: 0.8558205}
{file: DummyMale_Dash_Backward-22.png; posX: 0.1158312; posY: 0.8310567}
{file: DummyMale_Dash_Backward-23.png; posX: 0.1139421; posY: 0.8044116}
{file: DummyMale_Dash_Backward-24.png; posX: 0.1119732; posY: 0.7762434}
{file: DummyMale_Dash_Backward-25.png; posX: 0.1096873; posY: 0.7474927}
{file: DummyMale_Dash_Backward-26.png; posX: 0.1066764; posY: 0.7197531}
{file: DummyMale_Dash_Backward-27.png; posX: 0.1025551; posY: 0.6943608}
{file: DummyMale_Dash_Backward-28.png; posX: 0.09693757; posY: 0.6726518}
{file: DummyMale_Dash_Backward-29.png; posX: 0.08943835; posY: 0.6559622}
{file: DummyMale_Dash_Backward-30.png; posX: 0.07965858; posY: 0.6453021}
{file: DummyMale_Dash_Backward-31.png; posX: 0.06520788; posY: 0.6415861}
{file: DummyMale_Dash_Backward-32.png; posX: 0.04720014; posY: 0.6438338}
{file: DummyMale_Dash_Backward-33.png; posX: 0.02741136; posY: 0.6505768}
{file: DummyMale_Dash_Backward-34.png; posX: 0.007150386; posY: 0.6607656}
{file: DummyMale_Dash_Backward-35.png; posX: -0.01184535; posY: 0.6730721}
{file: DummyMale_Dash_Backward-36.png; posX: -0.02788612; posY: 0.6854615}
{file: DummyMale_Dash_Backward-37.png; posX: -0.03959104; posY: 0.6990489}
{file: DummyMale_Dash_Backward-38.png; posX: -0.04569731; posY: 0.7175236}
{file: DummyMale_Dash_Backward-39.png; posX: -0.04723859; posY: 0.7405301}
{file: DummyMale_Dash_Backward-40.png; posX: -0.04570252; posY: 0.7648379}
{file: DummyMale_Dash_Backward-41.png; posX: -0.04224125; posY: 0.7874805}
{file: DummyMale_Dash_Backward-42.png; posX: -0.03805854; posY: 0.8038632}
{file: DummyMale_Dash_Backward-43.png; posX: -0.0341284; posY: 0.810281}
{file: DummyMale_Dash_Backward-44.png; posX: -0.02861073; posY: 0.8086021}
{file: DummyMale_Dash_Backward-45.png; posX: -0.02184789; posY: 0.8009965}
{file: DummyMale_Dash_Backward-46.png; posX: -0.01444424; posY: 0.7904009}
{file: DummyMale_Dash_Backward-47.png; posX: -0.007004132; posY: 0.779752}
