{file: DummyMale_Dash_Forward-0.png; pivotX: 91.10906; pivotY: 313.9362}
{file: DummyMale_Dash_Forward-1.png; pivotX: 109.8439; pivotY: 304.3207}
{file: DummyMale_Dash_Forward-2.png; pivotX: 133.8634; pivotY: 285.8662}
{file: DummyMale_Dash_Forward-3.png; pivotX: 143.7714; pivotY: 265.2166}
{file: DummyMale_Dash_Forward-4.png; pivotX: 152.2806; pivotY: 244.4189}
{file: DummyMale_Dash_Forward-5.png; pivotX: 127.7626; pivotY: 224.2809}
{file: DummyMale_Dash_Forward-6.png; pivotX: 97.10149; pivotY: 208.8793}
{file: DummyMale_Dash_Forward-7.png; pivotX: 173.2447; pivotY: 201.1413}
{file: DummyMale_Dash_Forward-8.png; pivotX: 185.4554; pivotY: 198.6965}
{file: DummyMale_Dash_Forward-9.png; pivotX: 189.2496; pivotY: 201.7607}
{file: DummyMale_Dash_Forward-10.png; pivotX: 192.9603; pivotY: 208.6508}
{file: DummyMale_Dash_Forward-11.png; pivotX: 195.5889; pivotY: 217.1944}
{file: DummyMale_Dash_Forward-12.png; pivotX: 196.0831; pivotY: 225.3836}
{file: DummyMale_Dash_Forward-13.png; pivotX: 195.0081; pivotY: 231.4531}
{file: DummyMale_Dash_Forward-14.png; pivotX: 191.6834; pivotY: 235.4128}
{file: DummyMale_Dash_Forward-15.png; pivotX: 188.3979; pivotY: 240.8643}
{file: DummyMale_Dash_Forward-16.png; pivotX: 184.6229; pivotY: 246.008}
{file: DummyMale_Dash_Forward-17.png; pivotX: 179.3499; pivotY: 254.3507}
{file: DummyMale_Dash_Forward-18.png; pivotX: 172.8929; pivotY: 262.1092}
{file: DummyMale_Dash_Forward-19.png; pivotX: 164.0303; pivotY: 269.6565}
{file: DummyMale_Dash_Forward-20.png; pivotX: 150.3302; pivotY: 272.9254}
{file: DummyMale_Dash_Forward-21.png; pivotX: 126.7913; pivotY: 277.4543}
{file: DummyMale_Dash_Forward-22.png; pivotX: 97.19981; pivotY: 281.6289}
{file: DummyMale_Dash_Forward-23.png; pivotX: 78.93744; pivotY: 283.1879}
{file: DummyMale_Dash_Forward-24.png; pivotX: 65.14339; pivotY: 284.2931}
{file: DummyMale_Dash_Forward-25.png; pivotX: 72.25353; pivotY: 286.6214}
{file: DummyMale_Dash_Forward-26.png; pivotX: 78.00298; pivotY: 288.361}
{file: DummyMale_Dash_Forward-27.png; pivotX: 81.14687; pivotY: 291.4524}
{file: DummyMale_Dash_Forward-28.png; pivotX: 82.38294; pivotY: 293.9984}
{file: DummyMale_Dash_Forward-29.png; pivotX: 82.96092; pivotY: 295.8141}
{file: DummyMale_Dash_Forward-30.png; pivotX: 82.2831; pivotY: 297.6058}
{file: DummyMale_Dash_Forward-31.png; pivotX: 82.68748; pivotY: 298.2217}
{file: DummyMale_Dash_Forward-32.png; pivotX: 84.99445; pivotY: 297.6082}
{file: DummyMale_Dash_Forward-33.png; pivotX: 87.59124; pivotY: 297.1964}
{file: DummyMale_Dash_Forward-34.png; pivotX: 89.68605; pivotY: 296.3086}
{file: DummyMale_Dash_Forward-35.png; pivotX: 91.22564; pivotY: 296.1505}
{file: DummyMale_Dash_Forward-36.png; pivotX: 92.191; pivotY: 296.871}
{file: DummyMale_Dash_Forward-37.png; pivotX: 94.0309; pivotY: 298.1608}
{file: DummyMale_Dash_Forward-38.png; pivotX: 92.65701; pivotY: 300.0131}
{file: DummyMale_Dash_Forward-39.png; pivotX: 92.21468; pivotY: 302.8359}
{file: DummyMale_Dash_Forward-40.png; pivotX: 91.76554; pivotY: 304.795}
{file: DummyMale_Dash_Forward-41.png; pivotX: 91.51134; pivotY: 306.8182}
{file: DummyMale_Dash_Forward-42.png; pivotX: 91.48389; pivotY: 307.9521}
{file: DummyMale_Dash_Forward-43.png; pivotX: 91.56379; pivotY: 308.8938}
{file: DummyMale_Dash_Forward-44.png; pivotX: 91.24632; pivotY: 310.7425}
{file: DummyMale_Dash_Forward-45.png; pivotX: 91.41051; pivotY: 311.7352}
{file: DummyMale_Dash_Forward-46.png; pivotX: 91.39536; pivotY: 311.836}
{file: DummyMale_Dash_Forward-47.png; pivotX: 91.2909; pivotY: 312.8352}
{file: DummyMale_Dash_Forward-48.png; pivotX: 91.24948; pivotY: 312.8294}
{file: DummyMale_Dash_Forward-49.png; pivotX: 91.10728; pivotY: 313.8432}
{file: DummyMale_Dash_Forward-50.png; pivotX: 91.0808; pivotY: 313.9044}
{file: DummyMale_Dash_Forward-51.png; pivotX: 91.09656; pivotY: 313.9183}
