{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-0.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-1.png; posX: 0; posY: 0.0001126826}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-2.png; posX: 0; posY: 0.0002208203}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-3.png; posX: 0; posY: 0.0003244877}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-4.png; posX: 0; posY: 0.0004237592}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-5.png; posX: 0; posY: 0.0005187094}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-6.png; posX: 0; posY: 0.0006093979}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-7.png; posX: 0; posY: 0.0006958991}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-8.png; posX: 0; posY: 0.0007783026}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-9.png; posX: 0; posY: 0.0008566529}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-10.png; posX: 0; posY: 0.0009310246}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-11.png; posX: 0; posY: 0.001001522}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-12.png; posX: 0; posY: 0.001068175}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-13.png; posX: 0; posY: 0.001131073}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-14.png; posX: 0; posY: 0.001190305}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-15.png; posX: 0; posY: 0.001245916}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-16.png; posX: 0; posY: 0.001297981}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-17.png; posX: 0; posY: 0.001346588}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-18.png; posX: 0; posY: 0.001391798}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-19.png; posX: 0; posY: 0.001433685}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-20.png; posX: 0; posY: 0.001472309}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-21.png; posX: 0; posY: 0.001507759}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-22.png; posX: 0; posY: 0.001540095}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-23.png; posX: 0; posY: 0.001569405}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-24.png; posX: 0; posY: 0.001595736}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-25.png; posX: 0; posY: 0.001619175}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-26.png; posX: 0; posY: 0.001639783}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-27.png; posX: 0; posY: 0.00165765}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-28.png; posX: 0; posY: 0.001672834}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-29.png; posX: 0; posY: 0.001685411}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-30.png; posX: 0; posY: 0.001695454}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-31.png; posX: 0; posY: 0.001703024}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-32.png; posX: 0; posY: 0.00170821}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-33.png; posX: 0; posY: 0.001711071}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-34.png; posX: 0; posY: 0.001711667}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-35.png; posX: 0; posY: 0.001710102}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-36.png; posX: 0; posY: 0.001706421}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-37.png; posX: 0; posY: 0.001700714}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-38.png; posX: 0; posY: 0.001693025}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-39.png; posX: 0; posY: 0.001683459}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-40.png; posX: 0; posY: 0.001672074}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-41.png; posX: 0; posY: 0.001658931}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-42.png; posX: 0; posY: 0.001644105}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-43.png; posX: 0; posY: 0.001627684}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-44.png; posX: 0; posY: 0.001609728}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-45.png; posX: 0; posY: 0.001590312}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-46.png; posX: 0; posY: 0.001569495}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-47.png; posX: 0; posY: 0.001547366}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-48.png; posX: 0; posY: 0.001523986}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-49.png; posX: 0; posY: 0.001499429}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-50.png; posX: 0; posY: 0.00147377}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-51.png; posX: 0; posY: 0.00144437}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-52.png; posX: 0; posY: 0.00140889}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-53.png; posX: 0; posY: 0.001367778}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-54.png; posX: 0; posY: 0.001321539}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-55.png; posX: 0; posY: 0.001270637}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-56.png; posX: 0; posY: 0.001215547}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-57.png; posX: 0; posY: 0.001156762}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-58.png; posX: 0; posY: 0.001094759}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-59.png; posX: 0; posY: 0.001030013}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-60.png; posX: 0; posY: 0.0009629875}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-61.png; posX: 0; posY: 0.0008941889}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-62.png; posX: 0; posY: 0.0008240789}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-63.png; posX: 0; posY: 0.0007531345}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-64.png; posX: 0; posY: 0.0006818324}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-65.png; posX: 0; posY: 0.0006106645}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-66.png; posX: 0; posY: 0.0005401075}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-67.png; posX: 0; posY: 0.0004706383}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-68.png; posX: 0; posY: 0.0004027188}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-69.png; posX: 0; posY: 0.0003368407}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-70.png; posX: 0; posY: 0.000273481}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-71.png; posX: 0; posY: 0.0002131313}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-72.png; posX: 0; posY: 0.0001562536}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-73.png; posX: 0; posY: 0.0001033247}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-74.png; posX: 0; posY: 5.483627E-05}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-75.png; posX: 0; posY: 1.126528E-05}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-76.png; posX: 0; posY: -2.69264E-05}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-77.png; posX: 0; posY: -5.924702E-05}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-78.png; posX: 0; posY: -8.520484E-05}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Ground_Loop-79.png; posX: 0; posY: -0.0001043528}
