{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-0.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-1.png; posX: 0; posY: -1.335144E-05}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-2.png; posX: 0; posY: 0.002017185}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-3.png; posX: 0; posY: 0.008547023}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-4.png; posX: 0; posY: 0.01848571}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-5.png; posX: 0; posY: 0.03005482}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-6.png; posX: 0; posY: 0.04147589}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-7.png; posX: 0; posY: 0.05097051}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-8.png; posX: 0; posY: 0.05673933}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-9.png; posX: 0; posY: 0.05678666}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-10.png; posX: 0; posY: 0.04903944}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-11.png; posX: 0; posY: 0.03250535}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-12.png; posX: 0; posY: 0.0108013}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-13.png; posX: 0; posY: -0.01123197}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-14.png; posX: 0; posY: -0.02875361}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-15.png; posX: 0; posY: -0.03851555}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-16.png; posX: 0; posY: -0.0419772}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-17.png; posX: 0; posY: -0.0413589}
{file: DummyMale_Get_Hit_Fall_Back_Head Away_Feet_Up_Land-18.png; posX: 0; posY: -0.03888105}
