{file: DummyMale_Get_Hit_WallSlam-0.png; pivotX: 91.88615; pivotY: 313.9314}
{file: DummyMale_Get_Hit_WallSlam-1.png; pivotX: 76.21819; pivotY: 315.6894}
{file: DummyMale_Get_Hit_WallSlam-2.png; pivotX: 63.38745; pivotY: 317.0143}
{file: DummyMale_Get_Hit_WallSlam-3.png; pivotX: 54.11189; pivotY: 319.3206}
{file: DummyMale_Get_Hit_WallSlam-4.png; pivotX: 53.96029; pivotY: 318.6719}
{file: DummyMale_Get_Hit_WallSlam-5.png; pivotX: 54.95605; pivotY: 313.0924}
{file: DummyMale_Get_Hit_WallSlam-6.png; pivotX: 55.60165; pivotY: 304.9654}
{file: DummyMale_Get_Hit_WallSlam-7.png; pivotX: 55.91541; pivotY: 297.8474}
{file: DummyMale_Get_Hit_WallSlam-8.png; pivotX: 56.16811; pivotY: 292.8047}
{file: DummyMale_Get_Hit_WallSlam-9.png; pivotX: 56.61493; pivotY: 291.17}
{file: DummyMale_Get_Hit_WallSlam-10.png; pivotX: 57.03754; pivotY: 289.6564}
{file: DummyMale_Get_Hit_WallSlam-11.png; pivotX: 57.09428; pivotY: 290.2546}
{file: DummyMale_Get_Hit_WallSlam-12.png; pivotX: 57.107; pivotY: 294.0439}
{file: DummyMale_Get_Hit_WallSlam-13.png; pivotX: 62.43949; pivotY: 298.1083}
{file: DummyMale_Get_Hit_WallSlam-14.png; pivotX: 76.35831; pivotY: 302.2996}
{file: DummyMale_Get_Hit_WallSlam-15.png; pivotX: 89.68268; pivotY: 306.4196}
{file: DummyMale_Get_Hit_WallSlam-16.png; pivotX: 102.3166; pivotY: 310.1508}
{file: DummyMale_Get_Hit_WallSlam-17.png; pivotX: 115.133; pivotY: 314.0207}
{file: DummyMale_Get_Hit_WallSlam-18.png; pivotX: 127.3662; pivotY: 313.9942}
{file: DummyMale_Get_Hit_WallSlam-19.png; pivotX: 135.2427; pivotY: 311.867}
{file: DummyMale_Get_Hit_WallSlam-20.png; pivotX: 133.7933; pivotY: 307.8171}
{file: DummyMale_Get_Hit_WallSlam-21.png; pivotX: 119.992; pivotY: 305.1096}
{file: DummyMale_Get_Hit_WallSlam-22.png; pivotX: 110.1836; pivotY: 302.4583}
{file: DummyMale_Get_Hit_WallSlam-23.png; pivotX: 106.2952; pivotY: 299.7507}
{file: DummyMale_Get_Hit_WallSlam-24.png; pivotX: 103.2959; pivotY: 294.9724}
{file: DummyMale_Get_Hit_WallSlam-25.png; pivotX: 101.3712; pivotY: 296.1407}
{file: DummyMale_Get_Hit_WallSlam-26.png; pivotX: 100.4393; pivotY: 294.2345}
{file: DummyMale_Get_Hit_WallSlam-27.png; pivotX: 100.0712; pivotY: 291.235}
{file: DummyMale_Get_Hit_WallSlam-28.png; pivotX: 100.2183; pivotY: 286.2582}
{file: DummyMale_Get_Hit_WallSlam-29.png; pivotX: 100.7044; pivotY: 280.3205}
{file: DummyMale_Get_Hit_WallSlam-30.png; pivotX: 101.3511; pivotY: 275.4339}
{file: DummyMale_Get_Hit_WallSlam-31.png; pivotX: 101.9592; pivotY: 273.5027}
{file: DummyMale_Get_Hit_WallSlam-32.png; pivotX: 102.9258; pivotY: 270.4559}
{file: DummyMale_Get_Hit_WallSlam-33.png; pivotX: 103.2698; pivotY: 266.4548}
{file: DummyMale_Get_Hit_WallSlam-34.png; pivotX: 103.5159; pivotY: 261.5062}
{file: DummyMale_Get_Hit_WallSlam-35.png; pivotX: 103.6248; pivotY: 257.5407}
{file: DummyMale_Get_Hit_WallSlam-36.png; pivotX: 103.6607; pivotY: 253.5192}
{file: DummyMale_Get_Hit_WallSlam-37.png; pivotX: 103.6162; pivotY: 249.4736}
{file: DummyMale_Get_Hit_WallSlam-38.png; pivotX: 103.5116; pivotY: 246.3658}
{file: DummyMale_Get_Hit_WallSlam-39.png; pivotX: 103.4751; pivotY: 243.3275}
{file: DummyMale_Get_Hit_WallSlam-40.png; pivotX: 103.4758; pivotY: 241.3133}
{file: DummyMale_Get_Hit_WallSlam-41.png; pivotX: 103.5345; pivotY: 239.3603}
{file: DummyMale_Get_Hit_WallSlam-42.png; pivotX: 103.6424; pivotY: 237.4661}
{file: DummyMale_Get_Hit_WallSlam-43.png; pivotX: 103.712; pivotY: 236.5585}
{file: DummyMale_Get_Hit_WallSlam-44.png; pivotX: 103.7285; pivotY: 235.648}
{file: DummyMale_Get_Hit_WallSlam-45.png; pivotX: 103.68; pivotY: 234.7259}
{file: DummyMale_Get_Hit_WallSlam-46.png; pivotX: 103.4739; pivotY: 235.724}
{file: DummyMale_Get_Hit_WallSlam-47.png; pivotX: 103.1671; pivotY: 236.8528}
{file: DummyMale_Get_Hit_WallSlam-48.png; pivotX: 102.6636; pivotY: 238.8829}
{file: DummyMale_Get_Hit_WallSlam-49.png; pivotX: 102.0588; pivotY: 242.6492}
{file: DummyMale_Get_Hit_WallSlam-50.png; pivotX: 101.3293; pivotY: 246.3593}
{file: DummyMale_Get_Hit_WallSlam-51.png; pivotX: 100.3594; pivotY: 251.0566}
{file: DummyMale_Get_Hit_WallSlam-52.png; pivotX: 98.80254; pivotY: 254.8861}
{file: DummyMale_Get_Hit_WallSlam-53.png; pivotX: 97.6631; pivotY: 259.5146}
{file: DummyMale_Get_Hit_WallSlam-54.png; pivotX: 96.66162; pivotY: 264.1495}
{file: DummyMale_Get_Hit_WallSlam-55.png; pivotX: 95.74271; pivotY: 267.8732}
{file: DummyMale_Get_Hit_WallSlam-56.png; pivotX: 94.73564; pivotY: 272.5793}
{file: DummyMale_Get_Hit_WallSlam-57.png; pivotX: 93.73989; pivotY: 276.3306}
{file: DummyMale_Get_Hit_WallSlam-58.png; pivotX: 92.67932; pivotY: 280.0802}
{file: DummyMale_Get_Hit_WallSlam-59.png; pivotX: 91.10939; pivotY: 282.8907}
{file: DummyMale_Get_Hit_WallSlam-60.png; pivotX: 91.01579; pivotY: 286.72}
{file: DummyMale_Get_Hit_WallSlam-61.png; pivotX: 93.14124; pivotY: 288.7668}
{file: DummyMale_Get_Hit_WallSlam-62.png; pivotX: 95.17436; pivotY: 292.8684}
{file: DummyMale_Get_Hit_WallSlam-63.png; pivotX: 97.15743; pivotY: 298.0207}
{file: DummyMale_Get_Hit_WallSlam-64.png; pivotX: 98.49755; pivotY: 302.2239}
{file: DummyMale_Get_Hit_WallSlam-65.png; pivotX: 98.83697; pivotY: 306.2729}
{file: DummyMale_Get_Hit_WallSlam-66.png; pivotX: 98.22753; pivotY: 310.0983}
{file: DummyMale_Get_Hit_WallSlam-67.png; pivotX: 97.53172; pivotY: 312.9169}
{file: DummyMale_Get_Hit_WallSlam-68.png; pivotX: 96.3078; pivotY: 314.8541}
{file: DummyMale_Get_Hit_WallSlam-69.png; pivotX: 95.11439; pivotY: 315.9226}
{file: DummyMale_Get_Hit_WallSlam-70.png; pivotX: 94.54321; pivotY: 316.0686}
{file: DummyMale_Get_Hit_WallSlam-71.png; pivotX: 94.01933; pivotY: 316.2279}
{file: DummyMale_Get_Hit_WallSlam-72.png; pivotX: 93.58337; pivotY: 317.4138}
{file: DummyMale_Get_Hit_WallSlam-73.png; pivotX: 93.16669; pivotY: 318.5407}
{file: DummyMale_Get_Hit_WallSlam-74.png; pivotX: 92.88705; pivotY: 318.6941}
{file: DummyMale_Get_Hit_WallSlam-75.png; pivotX: 92.71062; pivotY: 318.8837}
{file: DummyMale_Get_Hit_WallSlam-76.png; pivotX: 92.05733; pivotY: 319.0692}
{file: DummyMale_Get_Hit_WallSlam-77.png; pivotX: 92.00893; pivotY: 318.2942}
{file: DummyMale_Get_Hit_WallSlam-78.png; pivotX: 91.90514; pivotY: 318.4875}
{file: DummyMale_Get_Hit_WallSlam-79.png; pivotX: 91.90684; pivotY: 317.7171}
{file: DummyMale_Get_Hit_WallSlam-80.png; pivotX: 91.86731; pivotY: 317.9165}
{file: DummyMale_Get_Hit_WallSlam-81.png; pivotX: 91.88885; pivotY: 317.0244}
{file: DummyMale_Get_Hit_WallSlam-82.png; pivotX: 91.81367; pivotY: 316.8755}
{file: DummyMale_Get_Hit_WallSlam-83.png; pivotX: 91.77271; pivotY: 315.7935}
{file: DummyMale_Get_Hit_WallSlam-84.png; pivotX: 92.10115; pivotY: 315.7341}
{file: DummyMale_Get_Hit_WallSlam-85.png; pivotX: 91.94496; pivotY: 314.7913}
{file: DummyMale_Get_Hit_WallSlam-86.png; pivotX: 91.645; pivotY: 314.8539}
{file: DummyMale_Get_Hit_WallSlam-87.png; pivotX: 91.32166; pivotY: 314.8924}
