{file: DummyMale_Get_Hit_WallSlam-0.png; posX: -2.980232E-10; posY: 0.7711189}
{file: DummyMale_Get_Hit_WallSlam-1.png; posX: 0.07726222; posY: 0.7845557}
{file: DummyMale_Get_Hit_WallSlam-2.png; posX: 0.15581; posY: 0.799516}
{file: DummyMale_Get_Hit_WallSlam-3.png; posX: 0.2344694; posY: 0.8145533}
{file: DummyMale_Get_Hit_WallSlam-4.png; posX: 0.3120942; posY: 0.8283272}
{file: DummyMale_Get_Hit_WallSlam-5.png; posX: 0.387538; posY: 0.8394973}
{file: DummyMale_Get_Hit_WallSlam-6.png; posX: 0.4596545; posY: 0.8467232}
{file: DummyMale_Get_Hit_WallSlam-7.png; posX: 0.5272973; posY: 0.8486644}
{file: DummyMale_Get_Hit_WallSlam-8.png; posX: 0.5909969; posY: 0.8463978}
{file: DummyMale_Get_Hit_WallSlam-9.png; posX: 0.6523785; posY: 0.8420689}
{file: DummyMale_Get_Hit_WallSlam-10.png; posX: 0.7119373; posY: 0.8359396}
{file: DummyMale_Get_Hit_WallSlam-11.png; posX: 0.7701684; posY: 0.8282718}
{file: DummyMale_Get_Hit_WallSlam-12.png; posX: 0.8275667; posY: 0.8193275}
{file: DummyMale_Get_Hit_WallSlam-13.png; posX: 0.8846273; posY: 0.8093686}
{file: DummyMale_Get_Hit_WallSlam-14.png; posX: 0.9418454; posY: 0.7986569}
{file: DummyMale_Get_Hit_WallSlam-15.png; posX: 0.999716; posY: 0.7874546}
{file: DummyMale_Get_Hit_WallSlam-16.png; posX: 1.058734; posY: 0.7760234}
{file: DummyMale_Get_Hit_WallSlam-17.png; posX: 1.119395; posY: 0.7646254}
{file: DummyMale_Get_Hit_WallSlam-18.png; posX: 1.188113; posY: 0.7518014}
{file: DummyMale_Get_Hit_WallSlam-19.png; posX: 1.265567; posY: 0.7361709}
{file: DummyMale_Get_Hit_WallSlam-20.png; posX: 1.343643; posY: 0.7181143}
{file: DummyMale_Get_Hit_WallSlam-21.png; posX: 1.406468; posY: 0.6999116}
{file: DummyMale_Get_Hit_WallSlam-22.png; posX: 1.446597; posY: 0.683372}
{file: DummyMale_Get_Hit_WallSlam-23.png; posX: 1.468567; posY: 0.6681685}
{file: DummyMale_Get_Hit_WallSlam-24.png; posX: 1.481094; posY: 0.6533127}
{file: DummyMale_Get_Hit_WallSlam-25.png; posX: 1.490166; posY: 0.638163}
{file: DummyMale_Get_Hit_WallSlam-26.png; posX: 1.496222; posY: 0.6229145}
{file: DummyMale_Get_Hit_WallSlam-27.png; posX: 1.499703; posY: 0.6077617}
{file: DummyMale_Get_Hit_WallSlam-28.png; posX: 1.501048; posY: 0.5928997}
{file: DummyMale_Get_Hit_WallSlam-29.png; posX: 1.500699; posY: 0.578523}
{file: DummyMale_Get_Hit_WallSlam-30.png; posX: 1.499095; posY: 0.5648268}
{file: DummyMale_Get_Hit_WallSlam-31.png; posX: 1.496676; posY: 0.5520056}
{file: DummyMale_Get_Hit_WallSlam-32.png; posX: 1.493883; posY: 0.5402544}
{file: DummyMale_Get_Hit_WallSlam-33.png; posX: 1.491155; posY: 0.5297679}
{file: DummyMale_Get_Hit_WallSlam-34.png; posX: 1.488934; posY: 0.520741}
{file: DummyMale_Get_Hit_WallSlam-35.png; posX: 1.487658; posY: 0.5133685}
{file: DummyMale_Get_Hit_WallSlam-36.png; posX: 1.487769; posY: 0.5078452}
{file: DummyMale_Get_Hit_WallSlam-37.png; posX: 1.488594; posY: 0.5039049}
{file: DummyMale_Get_Hit_WallSlam-38.png; posX: 1.489212; posY: 0.5011399}
{file: DummyMale_Get_Hit_WallSlam-39.png; posX: 1.489682; posY: 0.4995311}
{file: DummyMale_Get_Hit_WallSlam-40.png; posX: 1.490067; posY: 0.4990594}
{file: DummyMale_Get_Hit_WallSlam-41.png; posX: 1.490426; posY: 0.4997059}
{file: DummyMale_Get_Hit_WallSlam-42.png; posX: 1.490821; posY: 0.5014515}
{file: DummyMale_Get_Hit_WallSlam-43.png; posX: 1.491313; posY: 0.5042771}
{file: DummyMale_Get_Hit_WallSlam-44.png; posX: 1.491963; posY: 0.5081636}
{file: DummyMale_Get_Hit_WallSlam-45.png; posX: 1.492832; posY: 0.5130921}
{file: DummyMale_Get_Hit_WallSlam-46.png; posX: 1.493981; posY: 0.5190434}
{file: DummyMale_Get_Hit_WallSlam-47.png; posX: 1.495471; posY: 0.5259986}
{file: DummyMale_Get_Hit_WallSlam-48.png; posX: 1.497363; posY: 0.5339385}
{file: DummyMale_Get_Hit_WallSlam-49.png; posX: 1.499718; posY: 0.5428442}
{file: DummyMale_Get_Hit_WallSlam-50.png; posX: 1.502597; posY: 0.5526965}
{file: DummyMale_Get_Hit_WallSlam-51.png; posX: 1.506061; posY: 0.5634764}
{file: DummyMale_Get_Hit_WallSlam-52.png; posX: 1.510171; posY: 0.5751649}
{file: DummyMale_Get_Hit_WallSlam-53.png; posX: 1.514988; posY: 0.5877429}
{file: DummyMale_Get_Hit_WallSlam-54.png; posX: 1.520574; posY: 0.6011914}
{file: DummyMale_Get_Hit_WallSlam-55.png; posX: 1.526682; posY: 0.6154053}
{file: DummyMale_Get_Hit_WallSlam-56.png; posX: 1.532998; posY: 0.6301724}
{file: DummyMale_Get_Hit_WallSlam-57.png; posX: 1.539474; posY: 0.6453111}
{file: DummyMale_Get_Hit_WallSlam-58.png; posX: 1.546067; posY: 0.6606397}
{file: DummyMale_Get_Hit_WallSlam-59.png; posX: 1.552728; posY: 0.6759767}
{file: DummyMale_Get_Hit_WallSlam-60.png; posX: 1.559414; posY: 0.6911404}
{file: DummyMale_Get_Hit_WallSlam-61.png; posX: 1.566078; posY: 0.7059492}
{file: DummyMale_Get_Hit_WallSlam-62.png; posX: 1.572674; posY: 0.7202216}
{file: DummyMale_Get_Hit_WallSlam-63.png; posX: 1.579156; posY: 0.7337761}
{file: DummyMale_Get_Hit_WallSlam-64.png; posX: 1.585479; posY: 0.7464308}
{file: DummyMale_Get_Hit_WallSlam-65.png; posX: 1.591597; posY: 0.7580042}
{file: DummyMale_Get_Hit_WallSlam-66.png; posX: 1.597463; posY: 0.7683148}
{file: DummyMale_Get_Hit_WallSlam-67.png; posX: 1.603033; posY: 0.7771809}
{file: DummyMale_Get_Hit_WallSlam-68.png; posX: 1.608261; posY: 0.7844209}
{file: DummyMale_Get_Hit_WallSlam-69.png; posX: 1.6131; posY: 0.7898533}
{file: DummyMale_Get_Hit_WallSlam-70.png; posX: 1.617505; posY: 0.7932964}
{file: DummyMale_Get_Hit_WallSlam-71.png; posX: 1.621219; posY: 0.7951577}
{file: DummyMale_Get_Hit_WallSlam-72.png; posX: 1.624085; posY: 0.7960448}
{file: DummyMale_Get_Hit_WallSlam-73.png; posX: 1.626204; posY: 0.7960765}
{file: DummyMale_Get_Hit_WallSlam-74.png; posX: 1.62768; posY: 0.7953718}
{file: DummyMale_Get_Hit_WallSlam-75.png; posX: 1.628614; posY: 0.7940498}
{file: DummyMale_Get_Hit_WallSlam-76.png; posX: 1.629107; posY: 0.7922294}
{file: DummyMale_Get_Hit_WallSlam-77.png; posX: 1.629262; posY: 0.7900295}
{file: DummyMale_Get_Hit_WallSlam-78.png; posX: 1.62918; posY: 0.787569}
{file: DummyMale_Get_Hit_WallSlam-79.png; posX: 1.628964; posY: 0.7849671}
{file: DummyMale_Get_Hit_WallSlam-80.png; posX: 1.628716; posY: 0.7823426}
{file: DummyMale_Get_Hit_WallSlam-81.png; posX: 1.628537; posY: 0.7798144}
{file: DummyMale_Get_Hit_WallSlam-82.png; posX: 1.628529; posY: 0.7775016}
{file: DummyMale_Get_Hit_WallSlam-83.png; posX: 1.628795; posY: 0.7755231}
{file: DummyMale_Get_Hit_WallSlam-84.png; posX: 1.629436; posY: 0.773998}
{file: DummyMale_Get_Hit_WallSlam-85.png; posX: 1.630554; posY: 0.773045}
{file: DummyMale_Get_Hit_WallSlam-86.png; posX: 1.631957; posY: 0.7724305}
{file: DummyMale_Get_Hit_WallSlam-87.png; posX: 1.633352; posY: 0.7718064}
