{file: DummyMale_Idle-0.png; pivotX: 90.6395; pivotY: 313.5387}
{file: DummyMale_Idle-1.png; pivotX: 92.02316; pivotY: 314.5308}
{file: DummyMale_Idle-2.png; pivotX: 93.87646; pivotY: 314.5775}
{file: DummyMale_Idle-3.png; pivotX: 95.37287; pivotY: 315.576}
{file: DummyMale_Idle-4.png; pivotX: 96.90324; pivotY: 315.6019}
{file: DummyMale_Idle-5.png; pivotX: 98.23107; pivotY: 316.5886}
{file: DummyMale_Idle-6.png; pivotX: 99.45665; pivotY: 316.5975}
{file: DummyMale_Idle-7.png; pivotX: 100.4353; pivotY: 316.5933}
{file: DummyMale_Idle-8.png; pivotX: 101.2312; pivotY: 316.5791}
{file: DummyMale_Idle-9.png; pivotX: 101.8564; pivotY: 316.5644}
{file: DummyMale_Idle-10.png; pivotX: 102.3164; pivotY: 315.5737}
{file: DummyMale_Idle-11.png; pivotX: 102.6526; pivotY: 315.5382}
{file: DummyMale_Idle-12.png; pivotX: 103.4338; pivotY: 315.5008}
{file: DummyMale_Idle-13.png; pivotX: 103.7446; pivotY: 314.5079}
{file: DummyMale_Idle-14.png; pivotX: 103.9427; pivotY: 314.482}
{file: DummyMale_Idle-15.png; pivotX: 104.6172; pivotY: 313.4746}
{file: DummyMale_Idle-16.png; pivotX: 104.7461; pivotY: 312.4645}
{file: DummyMale_Idle-17.png; pivotX: 104.7889; pivotY: 312.42}
{file: DummyMale_Idle-18.png; pivotX: 105.3981; pivotY: 311.4102}
{file: DummyMale_Idle-19.png; pivotX: 105.4772; pivotY: 311.3701}
{file: DummyMale_Idle-20.png; pivotX: 105.6411; pivotY: 310.3687}
{file: DummyMale_Idle-21.png; pivotX: 105.3065; pivotY: 309.3694}
{file: DummyMale_Idle-22.png; pivotX: 105.3701; pivotY: 309.3412}
{file: DummyMale_Idle-23.png; pivotX: 105.0086; pivotY: 309.321}
{file: DummyMale_Idle-24.png; pivotX: 105.2743; pivotY: 308.3382}
{file: DummyMale_Idle-25.png; pivotX: 105.0227; pivotY: 308.3269}
{file: DummyMale_Idle-26.png; pivotX: 104.7876; pivotY: 308.3198}
{file: DummyMale_Idle-27.png; pivotX: 104.5302; pivotY: 308.3219}
{file: DummyMale_Idle-28.png; pivotX: 104.2564; pivotY: 308.3282}
{file: DummyMale_Idle-29.png; pivotX: 103.4459; pivotY: 308.3452}
{file: DummyMale_Idle-30.png; pivotX: 103.0507; pivotY: 309.3347}
{file: DummyMale_Idle-31.png; pivotX: 102.2573; pivotY: 309.3606}
{file: DummyMale_Idle-32.png; pivotX: 101.3859; pivotY: 310.3625}
{file: DummyMale_Idle-33.png; pivotX: 100.5937; pivotY: 310.4059}
{file: DummyMale_Idle-34.png; pivotX: 99.69146; pivotY: 311.415}
{file: DummyMale_Idle-35.png; pivotX: 98.7479; pivotY: 311.4463}
{file: DummyMale_Idle-36.png; pivotX: 97.67368; pivotY: 312.4456}
{file: DummyMale_Idle-37.png; pivotX: 96.66563; pivotY: 312.4636}
{file: DummyMale_Idle-38.png; pivotX: 95.58845; pivotY: 313.4567}
{file: DummyMale_Idle-39.png; pivotX: 95.17551; pivotY: 313.4973}
{file: DummyMale_Idle-40.png; pivotX: 94.28746; pivotY: 313.5337}
{file: DummyMale_Idle-41.png; pivotX: 93.39512; pivotY: 313.5594}
{file: DummyMale_Idle-42.png; pivotX: 92.97726; pivotY: 313.5729}
{file: DummyMale_Idle-43.png; pivotX: 92.00854; pivotY: 313.5788}
{file: DummyMale_Idle-44.png; pivotX: 91.46758; pivotY: 313.571}
{file: DummyMale_Idle-45.png; pivotX: 90.3092; pivotY: 313.5551}
{file: DummyMale_Idle-46.png; pivotX: 89.59252; pivotY: 313.5304}
{file: DummyMale_Idle-47.png; pivotX: 88.78374; pivotY: 313.5007}
{file: DummyMale_Idle-48.png; pivotX: 87.42692; pivotY: 313.4689}
{file: DummyMale_Idle-49.png; pivotX: 86.75455; pivotY: 312.4775}
{file: DummyMale_Idle-50.png; pivotX: 85.56839; pivotY: 312.4598}
{file: DummyMale_Idle-51.png; pivotX: 85.00886; pivotY: 312.472}
{file: DummyMale_Idle-52.png; pivotX: 84.16437; pivotY: 311.5246}
{file: DummyMale_Idle-53.png; pivotX: 83.75404; pivotY: 311.5375}
