{file: DummyMale_Idle-0.png; posX: -2.980232E-10; posY: 0.7710029}
{file: DummyMale_Idle-1.png; posX: -0.007584954; posY: 0.7728435}
{file: DummyMale_Idle-2.png; posX: -0.0154645; posY: 0.7748827}
{file: DummyMale_Idle-3.png; posX: -0.02336488; posY: 0.7769323}
{file: DummyMale_Idle-4.png; posX: -0.03094688; posY: 0.7787653}
{file: DummyMale_Idle-5.png; posX: -0.03787128; posY: 0.7801551}
{file: DummyMale_Idle-6.png; posX: -0.04379883; posY: 0.7808747}
{file: DummyMale_Idle-7.png; posX: -0.04862015; posY: 0.7808887}
{file: DummyMale_Idle-8.png; posX: -0.05256484; posY: 0.7803517}
{file: DummyMale_Idle-9.png; posX: -0.05580206; posY: 0.7793221}
{file: DummyMale_Idle-10.png; posX: -0.05850099; posY: 0.7778581}
{file: DummyMale_Idle-11.png; posX: -0.06083079; posY: 0.7760182}
{file: DummyMale_Idle-12.png; posX: -0.06296065; posY: 0.7738605}
{file: DummyMale_Idle-13.png; posX: -0.06487732; posY: 0.7713355}
{file: DummyMale_Idle-14.png; posX: -0.06647424; posY: 0.7684174}
{file: DummyMale_Idle-15.png; posX: -0.06778064; posY: 0.7651994}
{file: DummyMale_Idle-16.png; posX: -0.06882573; posY: 0.7617752}
{file: DummyMale_Idle-17.png; posX: -0.06963871; posY: 0.7582381}
{file: DummyMale_Idle-18.png; posX: -0.07024881; posY: 0.7546818}
{file: DummyMale_Idle-19.png; posX: -0.07068523; posY: 0.7511995}
{file: DummyMale_Idle-20.png; posX: -0.07086596; posY: 0.7480291}
{file: DummyMale_Idle-21.png; posX: -0.07072069; posY: 0.7453447}
{file: DummyMale_Idle-22.png; posX: -0.070296; posY: 0.7431445}
{file: DummyMale_Idle-23.png; posX: -0.06963843; posY: 0.7414267}
{file: DummyMale_Idle-24.png; posX: -0.06879457; posY: 0.7401896}
{file: DummyMale_Idle-25.png; posX: -0.06781098; posY: 0.7394311}
{file: DummyMale_Idle-26.png; posX: -0.06654684; posY: 0.739218}
{file: DummyMale_Idle-27.png; posX: -0.06483027; posY: 0.7396161}
{file: DummyMale_Idle-28.png; posX: -0.06266127; posY: 0.740621}
{file: DummyMale_Idle-29.png; posX: -0.06003981; posY: 0.7422281}
{file: DummyMale_Idle-30.png; posX: -0.05696592; posY: 0.744433}
{file: DummyMale_Idle-31.png; posX: -0.05343959; posY: 0.7472313}
{file: DummyMale_Idle-32.png; posX: -0.04959945; posY: 0.7503656}
{file: DummyMale_Idle-33.png; posX: -0.04555739; posY: 0.753566}
{file: DummyMale_Idle-34.png; posX: -0.04127373; posY: 0.7568114}
{file: DummyMale_Idle-35.png; posX: -0.03670874; posY: 0.7600808}
{file: DummyMale_Idle-36.png; posX: -0.0318227; posY: 0.7633531}
{file: DummyMale_Idle-37.png; posX: -0.02681268; posY: 0.7663946}
{file: DummyMale_Idle-38.png; posX: -0.02224182; posY: 0.7687519}
{file: DummyMale_Idle-39.png; posX: -0.01833402; posY: 0.7704132}
{file: DummyMale_Idle-40.png; posX: -0.0148318; posY: 0.7716433}
{file: DummyMale_Idle-41.png; posX: -0.011522; posY: 0.7725096}
{file: DummyMale_Idle-42.png; posX: -0.008191416; posY: 0.7730793}
{file: DummyMale_Idle-43.png; posX: -0.004626883; posY: 0.7734199}
{file: DummyMale_Idle-44.png; posX: -0.00068474; posY: 0.7735419}
{file: DummyMale_Idle-45.png; posX: 0.003828493; posY: 0.7733812}
{file: DummyMale_Idle-46.png; posX: 0.008790805; posY: 0.7729232}
{file: DummyMale_Idle-47.png; posX: 0.013986; posY: 0.7721949}
{file: DummyMale_Idle-48.png; posX: 0.01911465; posY: 0.7712337}
{file: DummyMale_Idle-49.png; posX: 0.02387736; posY: 0.770077}
{file: DummyMale_Idle-50.png; posX: 0.02804009; posY: 0.7686362}
{file: DummyMale_Idle-51.png; posX: 0.03163824; posY: 0.7668678}
{file: DummyMale_Idle-52.png; posX: 0.03477648; posY: 0.7648764}
{file: DummyMale_Idle-53.png; posX: 0.03755953; posY: 0.7627668}
{file: DummyMale_Idle-54.png; posX: 0.04009209; posY: 0.7606436}
{file: DummyMale_Idle-55.png; posX: 0.04247884; posY: 0.7586116}
{file: DummyMale_Idle-56.png; posX: 0.04482449; posY: 0.7567756}
{file: DummyMale_Idle-57.png; posX: 0.04743508; posY: 0.7549999}
{file: DummyMale_Idle-58.png; posX: 0.05035701; posY: 0.753158}
{file: DummyMale_Idle-59.png; posX: 0.05330554; posY: 0.7513685}
{file: DummyMale_Idle-60.png; posX: 0.05599591; posY: 0.7497498}
