{file: DummyMale_Idle_To_Running-0.png; posX: -2.980232E-10; posY: 0.7711523}
{file: DummyMale_Idle_To_Running-1.png; posX: -0.08700997; posY: 0.7778481}
{file: DummyMale_Idle_To_Running-2.png; posX: -0.1737378; posY: 0.7844027}
{file: DummyMale_Idle_To_Running-3.png; posX: -0.2604657; posY: 0.7909573}
{file: DummyMale_Idle_To_Running-4.png; posX: -0.3474756; posY: 0.7976534}
{file: DummyMale_Idle_To_Running-5.png; posX: -0.43505; posY: 0.8046321}
{file: DummyMale_Idle_To_Running-6.png; posX: -0.5234708; posY: 0.8120349}
{file: DummyMale_Idle_To_Running-7.png; posX: -0.6134288; posY: 0.8205594}
{file: DummyMale_Idle_To_Running-8.png; posX: -0.7087234; posY: 0.8317578}
{file: DummyMale_Idle_To_Running-9.png; posX: -0.8122325; posY: 0.8460189}
{file: DummyMale_Idle_To_Running-10.png; posX: -0.9193485; posY: 0.8607443}
{file: DummyMale_Idle_To_Running-11.png; posX: -1.036359; posY: 0.8732786}
{file: DummyMale_Idle_To_Running-12.png; posX: -1.170355; posY: 0.8829446}
{file: DummyMale_Idle_To_Running-13.png; posX: -1.312161; posY: 0.8906007}
{file: DummyMale_Idle_To_Running-14.png; posX: -1.447503; posY: 0.8963092}
{file: DummyMale_Idle_To_Running-15.png; posX: -1.565991; posY: 0.8996476}
{file: DummyMale_Idle_To_Running-16.png; posX: -1.660132; posY: 0.8995259}
{file: DummyMale_Idle_To_Running-17.png; posX: -1.737137; posY: 0.8965905}
{file: DummyMale_Idle_To_Running-18.png; posX: -1.807737; posY: 0.891839}
{file: DummyMale_Idle_To_Running-19.png; posX: -1.879436; posY: 0.8855033}
{file: DummyMale_Idle_To_Running-20.png; posX: -1.95231; posY: 0.8776274}
{file: DummyMale_Idle_To_Running-21.png; posX: -2.025961; posY: 0.868928}
{file: DummyMale_Idle_To_Running-22.png; posX: -2.099987; posY: 0.8601214}
{file: DummyMale_Idle_To_Running-23.png; posX: -2.173987; posY: 0.8519244}
{file: DummyMale_Idle_To_Running-24.png; posX: -2.247562; posY: 0.8450534}
{file: DummyMale_Idle_To_Running-25.png; posX: -2.32083; posY: 0.8402957}
{file: DummyMale_Idle_To_Running-26.png; posX: -2.394058; posY: 0.8371426}
{file: DummyMale_Idle_To_Running-27.png; posX: -2.467177; posY: 0.8347234}
