{file: DummyMale_Loop_Able_Dizzy-0.png; pivotX: 91.10906; pivotY: 313.9362}
{file: DummyMale_Loop_Able_Dizzy-1.png; pivotX: 91.01978; pivotY: 314.8832}
{file: DummyMale_Loop_Able_Dizzy-2.png; pivotX: 91.07908; pivotY: 316.8118}
{file: DummyMale_Loop_Able_Dizzy-3.png; pivotX: 91.26617; pivotY: 317.7403}
{file: DummyMale_Loop_Able_Dizzy-4.png; pivotX: 91.37212; pivotY: 319.604}
{file: DummyMale_Loop_Able_Dizzy-5.png; pivotX: 91.50708; pivotY: 320.4767}
{file: DummyMale_Loop_Able_Dizzy-6.png; pivotX: 91.62934; pivotY: 320.3661}
{file: DummyMale_Loop_Able_Dizzy-7.png; pivotX: 91.20158; pivotY: 319.2809}
{file: DummyMale_Loop_Able_Dizzy-8.png; pivotX: 91.10964; pivotY: 318.1976}
{file: DummyMale_Loop_Able_Dizzy-9.png; pivotX: 90.82911; pivotY: 317.1302}
{file: DummyMale_Loop_Able_Dizzy-10.png; pivotX: 90.34113; pivotY: 316.0903}
{file: DummyMale_Loop_Able_Dizzy-11.png; pivotX: 89.71422; pivotY: 314.1006}
{file: DummyMale_Loop_Able_Dizzy-12.png; pivotX: 89.23701; pivotY: 313.1555}
{file: DummyMale_Loop_Able_Dizzy-13.png; pivotX: 88.05525; pivotY: 311.3635}
{file: DummyMale_Loop_Able_Dizzy-14.png; pivotX: 86.53043; pivotY: 310.5735}
{file: DummyMale_Loop_Able_Dizzy-15.png; pivotX: 84.79335; pivotY: 308.8382}
{file: DummyMale_Loop_Able_Dizzy-16.png; pivotX: 82.73998; pivotY: 307.1214}
{file: DummyMale_Loop_Able_Dizzy-17.png; pivotX: 80.46499; pivotY: 305.1114}
{file: DummyMale_Loop_Able_Dizzy-18.png; pivotX: 78.1043; pivotY: 301.8083}
{file: DummyMale_Loop_Able_Dizzy-19.png; pivotX: 75.94836; pivotY: 297.6859}
{file: DummyMale_Loop_Able_Dizzy-20.png; pivotX: 73.32331; pivotY: 295.4991}
{file: DummyMale_Loop_Able_Dizzy-21.png; pivotX: 70.73225; pivotY: 296.3562}
{file: DummyMale_Loop_Able_Dizzy-22.png; pivotX: 68.78436; pivotY: 297.0872}
{file: DummyMale_Loop_Able_Dizzy-23.png; pivotX: 66.65012; pivotY: 296.7771}
{file: DummyMale_Loop_Able_Dizzy-24.png; pivotX: 64.84361; pivotY: 295.4695}
{file: DummyMale_Loop_Able_Dizzy-25.png; pivotX: 63.50871; pivotY: 295.1231}
{file: DummyMale_Loop_Able_Dizzy-26.png; pivotX: 62.69313; pivotY: 292.8875}
{file: DummyMale_Loop_Able_Dizzy-27.png; pivotX: 63.79971; pivotY: 290.7175}
{file: DummyMale_Loop_Able_Dizzy-28.png; pivotX: 64.29847; pivotY: 293.5709}
{file: DummyMale_Loop_Able_Dizzy-29.png; pivotX: 65.19199; pivotY: 296.4315}
{file: DummyMale_Loop_Able_Dizzy-30.png; pivotX: 65.49058; pivotY: 298.3219}
{file: DummyMale_Loop_Able_Dizzy-31.png; pivotX: 66.49599; pivotY: 301.1645}
{file: DummyMale_Loop_Able_Dizzy-32.png; pivotX: 67.48236; pivotY: 302.1217}
{file: DummyMale_Loop_Able_Dizzy-33.png; pivotX: 68.09396; pivotY: 303.2553}
{file: DummyMale_Loop_Able_Dizzy-34.png; pivotX: 69.08718; pivotY: 304.4317}
{file: DummyMale_Loop_Able_Dizzy-35.png; pivotX: 69.30084; pivotY: 306.5079}
{file: DummyMale_Loop_Able_Dizzy-36.png; pivotX: 69.55148; pivotY: 307.686}
{file: DummyMale_Loop_Able_Dizzy-37.png; pivotX: 70.42587; pivotY: 308.8776}
{file: DummyMale_Loop_Able_Dizzy-38.png; pivotX: 71.6167; pivotY: 310.0199}
{file: DummyMale_Loop_Able_Dizzy-39.png; pivotX: 73.116; pivotY: 311.0714}
{file: DummyMale_Loop_Able_Dizzy-40.png; pivotX: 74.75323; pivotY: 312.0249}
{file: DummyMale_Loop_Able_Dizzy-41.png; pivotX: 75.9981; pivotY: 312.8601}
{file: DummyMale_Loop_Able_Dizzy-42.png; pivotX: 77.90524; pivotY: 312.68}
{file: DummyMale_Loop_Able_Dizzy-43.png; pivotX: 79.2717; pivotY: 313.5073}
{file: DummyMale_Loop_Able_Dizzy-44.png; pivotX: 80.74957; pivotY: 313.4571}
{file: DummyMale_Loop_Able_Dizzy-45.png; pivotX: 81.61764; pivotY: 314.4101}
{file: DummyMale_Loop_Able_Dizzy-46.png; pivotX: 83.0799; pivotY: 313.4433}
{file: DummyMale_Loop_Able_Dizzy-47.png; pivotX: 83.87608; pivotY: 312.5032}
{file: DummyMale_Loop_Able_Dizzy-48.png; pivotX: 84.00109; pivotY: 314.5025}
{file: DummyMale_Loop_Able_Dizzy-49.png; pivotX: 84.02608; pivotY: 315.455}
{file: DummyMale_Loop_Able_Dizzy-50.png; pivotX: 83.89661; pivotY: 315.4769}
{file: DummyMale_Loop_Able_Dizzy-51.png; pivotX: 83.10054; pivotY: 314.5524}
{file: DummyMale_Loop_Able_Dizzy-52.png; pivotX: 82.11454; pivotY: 313.622}
{file: DummyMale_Loop_Able_Dizzy-53.png; pivotX: 81.07374; pivotY: 311.7423}
{file: DummyMale_Loop_Able_Dizzy-54.png; pivotX: 79.35063; pivotY: 310.8438}
{file: DummyMale_Loop_Able_Dizzy-55.png; pivotX: 77.5397; pivotY: 308.9677}
{file: DummyMale_Loop_Able_Dizzy-56.png; pivotX: 75.52699; pivotY: 307.0451}
{file: DummyMale_Loop_Able_Dizzy-57.png; pivotX: 75.72006; pivotY: 304.1144}
{file: DummyMale_Loop_Able_Dizzy-58.png; pivotX: 76.48846; pivotY: 300.1899}
{file: DummyMale_Loop_Able_Dizzy-59.png; pivotX: 77.1146; pivotY: 301.3064}
{file: DummyMale_Loop_Able_Dizzy-60.png; pivotX: 77.72542; pivotY: 301.3925}
{file: DummyMale_Loop_Able_Dizzy-61.png; pivotX: 78.06476; pivotY: 299.4072}
{file: DummyMale_Loop_Able_Dizzy-62.png; pivotX: 78.58894; pivotY: 296.3326}
{file: DummyMale_Loop_Able_Dizzy-63.png; pivotX: 78.80416; pivotY: 292.234}
{file: DummyMale_Loop_Able_Dizzy-64.png; pivotX: 79.14932; pivotY: 288.1271}
{file: DummyMale_Loop_Able_Dizzy-65.png; pivotX: 78.70057; pivotY: 284.0606}
{file: DummyMale_Loop_Able_Dizzy-66.png; pivotX: 78.58779; pivotY: 281.0418}
{file: DummyMale_Loop_Able_Dizzy-67.png; pivotX: 78.85738; pivotY: 280.9941}
{file: DummyMale_Loop_Able_Dizzy-68.png; pivotX: 78.89337; pivotY: 282.8524}
{file: DummyMale_Loop_Able_Dizzy-69.png; pivotX: 78.53012; pivotY: 281.7794}
{file: DummyMale_Loop_Able_Dizzy-70.png; pivotX: 78.26794; pivotY: 280.7834}
{file: DummyMale_Loop_Able_Dizzy-71.png; pivotX: 77.81584; pivotY: 285.8654}
{file: DummyMale_Loop_Able_Dizzy-72.png; pivotX: 77.24934; pivotY: 286.8937}
{file: DummyMale_Loop_Able_Dizzy-73.png; pivotX: 77.3642; pivotY: 286.8479}
{file: DummyMale_Loop_Able_Dizzy-74.png; pivotX: 77.07905; pivotY: 285.7707}
{file: DummyMale_Loop_Able_Dizzy-75.png; pivotX: 77.25575; pivotY: 283.6935}
{file: DummyMale_Loop_Able_Dizzy-76.png; pivotX: 77.46055; pivotY: 279.6955}
{file: DummyMale_Loop_Able_Dizzy-77.png; pivotX: 77.4563; pivotY: 280.6729}
{file: DummyMale_Loop_Able_Dizzy-78.png; pivotX: 77.45466; pivotY: 281.7583}
{file: DummyMale_Loop_Able_Dizzy-79.png; pivotX: 77.30108; pivotY: 282.848}
{file: DummyMale_Loop_Able_Dizzy-80.png; pivotX: 77.11317; pivotY: 284.9175}
{file: DummyMale_Loop_Able_Dizzy-81.png; pivotX: 76.98131; pivotY: 286.0206}
{file: DummyMale_Loop_Able_Dizzy-82.png; pivotX: 76.86158; pivotY: 286.1407}
{file: DummyMale_Loop_Able_Dizzy-83.png; pivotX: 76.62373; pivotY: 287.22}
{file: DummyMale_Loop_Able_Dizzy-84.png; pivotX: 76.93133; pivotY: 287.3498}
{file: DummyMale_Loop_Able_Dizzy-85.png; pivotX: 76.69321; pivotY: 287.4523}
{file: DummyMale_Loop_Able_Dizzy-86.png; pivotX: 76.40556; pivotY: 287.5195}
{file: DummyMale_Loop_Able_Dizzy-87.png; pivotX: 76.23331; pivotY: 285.5952}
{file: DummyMale_Loop_Able_Dizzy-88.png; pivotX: 75.99419; pivotY: 285.5711}
{file: DummyMale_Loop_Able_Dizzy-89.png; pivotX: 75.72563; pivotY: 285.5062}
{file: DummyMale_Loop_Able_Dizzy-90.png; pivotX: 75.46873; pivotY: 284.4525}
{file: DummyMale_Loop_Able_Dizzy-91.png; pivotX: 75.10431; pivotY: 284.3866}
{file: DummyMale_Loop_Able_Dizzy-92.png; pivotX: 74.58498; pivotY: 286.3059}
{file: DummyMale_Loop_Able_Dizzy-93.png; pivotX: 74.07181; pivotY: 286.2866}
{file: DummyMale_Loop_Able_Dizzy-94.png; pivotX: 73.4475; pivotY: 286.2809}
{file: DummyMale_Loop_Able_Dizzy-95.png; pivotX: 72.84579; pivotY: 286.2586}
{file: DummyMale_Loop_Able_Dizzy-96.png; pivotX: 72.34243; pivotY: 286.1857}
{file: DummyMale_Loop_Able_Dizzy-97.png; pivotX: 71.88534; pivotY: 286.0909}
{file: DummyMale_Loop_Able_Dizzy-98.png; pivotX: 71.39963; pivotY: 286.0248}
{file: DummyMale_Loop_Able_Dizzy-99.png; pivotX: 71.01062; pivotY: 285.027}
{file: DummyMale_Loop_Able_Dizzy-100.png; pivotX: 70.58221; pivotY: 284.9852}
{file: DummyMale_Loop_Able_Dizzy-101.png; pivotX: 70.25667; pivotY: 284.9807}
{file: DummyMale_Loop_Able_Dizzy-102.png; pivotX: 69.95479; pivotY: 284.9565}
{file: DummyMale_Loop_Able_Dizzy-103.png; pivotX: 69.65171; pivotY: 284.9514}
{file: DummyMale_Loop_Able_Dizzy-104.png; pivotX: 69.25342; pivotY: 285.9348}
{file: DummyMale_Loop_Able_Dizzy-105.png; pivotX: 69.02381; pivotY: 285.9633}
{file: DummyMale_Loop_Able_Dizzy-106.png; pivotX: 68.90146; pivotY: 285.9685}
{file: DummyMale_Loop_Able_Dizzy-107.png; pivotX: 68.90954; pivotY: 285.9397}
{file: DummyMale_Loop_Able_Dizzy-108.png; pivotX: 69.02851; pivotY: 285.8936}
{file: DummyMale_Loop_Able_Dizzy-109.png; pivotX: 69.21555; pivotY: 285.8635}
{file: DummyMale_Loop_Able_Dizzy-110.png; pivotX: 69.55094; pivotY: 284.8913}
{file: DummyMale_Loop_Able_Dizzy-111.png; pivotX: 69.8065; pivotY: 284.8858}
{file: DummyMale_Loop_Able_Dizzy-112.png; pivotX: 70.08349; pivotY: 284.8872}
{file: DummyMale_Loop_Able_Dizzy-113.png; pivotX: 70.37827; pivotY: 284.8947}
{file: DummyMale_Loop_Able_Dizzy-114.png; pivotX: 70.68752; pivotY: 284.9075}
{file: DummyMale_Loop_Able_Dizzy-115.png; pivotX: 71.008; pivotY: 284.925}
{file: DummyMale_Loop_Able_Dizzy-116.png; pivotX: 70.93495; pivotY: 283.987}
{file: DummyMale_Loop_Able_Dizzy-117.png; pivotX: 71.26495; pivotY: 284.0128}
{file: DummyMale_Loop_Able_Dizzy-118.png; pivotX: 71.59393; pivotY: 284.0436}
{file: DummyMale_Loop_Able_Dizzy-119.png; pivotX: 71.92271; pivotY: 284.0793}
{file: DummyMale_Loop_Able_Dizzy-120.png; pivotX: 72.25441; pivotY: 284.1193}
{file: DummyMale_Loop_Able_Dizzy-121.png; pivotX: 72.59274; pivotY: 284.1631}
{file: DummyMale_Loop_Able_Dizzy-122.png; pivotX: 72.95636; pivotY: 284.2177}
{file: DummyMale_Loop_Able_Dizzy-123.png; pivotX: 73.31199; pivotY: 285.2228}
{file: DummyMale_Loop_Able_Dizzy-124.png; pivotX: 73.65977; pivotY: 287.1677}
{file: DummyMale_Loop_Able_Dizzy-125.png; pivotX: 74.1041; pivotY: 288.1522}
{file: DummyMale_Loop_Able_Dizzy-126.png; pivotX: 74.02769; pivotY: 290.0344}
{file: DummyMale_Loop_Able_Dizzy-127.png; pivotX: 74.65465; pivotY: 290.8649}
{file: DummyMale_Loop_Able_Dizzy-128.png; pivotX: 75.30599; pivotY: 291.6689}
{file: DummyMale_Loop_Able_Dizzy-129.png; pivotX: 75.94891; pivotY: 291.5271}
{file: DummyMale_Loop_Able_Dizzy-130.png; pivotX: 76.8887; pivotY: 291.5034}
{file: DummyMale_Loop_Able_Dizzy-131.png; pivotX: 77.08534; pivotY: 291.5283}
{file: DummyMale_Loop_Able_Dizzy-132.png; pivotX: 77.21922; pivotY: 290.583}
{file: DummyMale_Loop_Able_Dizzy-133.png; pivotX: 77.40486; pivotY: 288.6536}
