{file: DummyMale_Loop_Able_Dizzy-0.png; posX: -2.980232E-10; posY: 0.7711523}
{file: DummyMale_Loop_Able_Dizzy-1.png; posX: 0.0006025981; posY: 0.773827}
{file: DummyMale_Loop_Able_Dizzy-2.png; posX: 0.0006259315; posY: 0.7768302}
{file: DummyMale_Loop_Able_Dizzy-3.png; posX: 0.0002578692; posY: 0.7800552}
{file: DummyMale_Loop_Able_Dizzy-4.png; posX: -0.0003137184; posY: 0.7833956}
{file: DummyMale_Loop_Able_Dizzy-5.png; posX: -0.0009009626; posY: 0.7867447}
{file: DummyMale_Loop_Able_Dizzy-6.png; posX: -0.001315992; posY: 0.7899964}
{file: DummyMale_Loop_Able_Dizzy-7.png; posX: -0.001370937; posY: 0.7930439}
{file: DummyMale_Loop_Able_Dizzy-8.png; posX: -0.00087793; posY: 0.7957808}
{file: DummyMale_Loop_Able_Dizzy-9.png; posX: 0.0003509014; posY: 0.7981007}
{file: DummyMale_Loop_Able_Dizzy-10.png; posX: 0.002499568; posY: 0.7998972}
{file: DummyMale_Loop_Able_Dizzy-11.png; posX: 0.005738924; posY: 0.8010752}
{file: DummyMale_Loop_Able_Dizzy-12.png; posX: 0.01033104; posY: 0.8014925}
{file: DummyMale_Loop_Able_Dizzy-13.png; posX: 0.01653706; posY: 0.8010158}
{file: DummyMale_Loop_Able_Dizzy-14.png; posX: 0.02438775; posY: 0.7996495}
{file: DummyMale_Loop_Able_Dizzy-15.png; posX: 0.03372683; posY: 0.7974848}
{file: DummyMale_Loop_Able_Dizzy-16.png; posX: 0.04425072; posY: 0.7946736}
{file: DummyMale_Loop_Able_Dizzy-17.png; posX: 0.05565502; posY: 0.7913705}
{file: DummyMale_Loop_Able_Dizzy-18.png; posX: 0.06763529; posY: 0.7877302}
{file: DummyMale_Loop_Able_Dizzy-19.png; posX: 0.07988715; posY: 0.7839072}
{file: DummyMale_Loop_Able_Dizzy-20.png; posX: 0.09210616; posY: 0.7800562}
{file: DummyMale_Loop_Able_Dizzy-21.png; posX: 0.1039879; posY: 0.7763317}
{file: DummyMale_Loop_Able_Dizzy-22.png; posX: 0.115228; posY: 0.7728885}
{file: DummyMale_Loop_Able_Dizzy-23.png; posX: 0.1255219; posY: 0.7698812}
{file: DummyMale_Loop_Able_Dizzy-24.png; posX: 0.1345654; posY: 0.7674643}
{file: DummyMale_Loop_Able_Dizzy-25.png; posX: 0.1424902; posY: 0.7655103}
{file: DummyMale_Loop_Able_Dizzy-26.png; posX: 0.1496695; posY: 0.7637889}
