{file: DummyMale_Running-0.png; pivotX: 80.41681; pivotY: 298.2462}
{file: DummyMale_Running-1.png; pivotX: 95.68221; pivotY: 299.4062}
{file: DummyMale_Running-2.png; pivotX: 109.9937; pivotY: 300.3526}
{file: DummyMale_Running-3.png; pivotX: 122.1871; pivotY: 301.8615}
{file: DummyMale_Running-4.png; pivotX: 134.1313; pivotY: 303.9395}
{file: DummyMale_Running-5.png; pivotX: 141.3848; pivotY: 303.8372}
{file: DummyMale_Running-6.png; pivotX: 147.0912; pivotY: 304.0464}
{file: DummyMale_Running-7.png; pivotX: 151.8811; pivotY: 304.2222}
{file: DummyMale_Running-8.png; pivotX: 154.072; pivotY: 304.4081}
{file: DummyMale_Running-9.png; pivotX: 153.3522; pivotY: 303.841}
{file: DummyMale_Running-10.png; pivotX: 150.0804; pivotY: 304.3611}
{file: DummyMale_Running-11.png; pivotX: 149.1063; pivotY: 305.3313}
{file: DummyMale_Running-12.png; pivotX: 146.3967; pivotY: 305.3987}
{file: DummyMale_Running-13.png; pivotX: 141.8607; pivotY: 304.8127}
{file: DummyMale_Running-14.png; pivotX: 133.5459; pivotY: 304.4089}
{file: DummyMale_Running-15.png; pivotX: 123.562; pivotY: 304.1732}
{file: DummyMale_Running-16.png; pivotX: 111.6679; pivotY: 302.8895}
{file: DummyMale_Running-17.png; pivotX: 98.68468; pivotY: 301.5354}
{file: DummyMale_Running-18.png; pivotX: 83.89589; pivotY: 300.1503}
{file: DummyMale_Running-19.png; pivotX: 67.38068; pivotY: 300.4074}
{file: DummyMale_Running-20.png; pivotX: 69.31669; pivotY: 300.3951}
{file: DummyMale_Running-21.png; pivotX: 84.03242; pivotY: 301.6631}
{file: DummyMale_Running-22.png; pivotX: 98.97295; pivotY: 302.941}
{file: DummyMale_Running-23.png; pivotX: 111.6005; pivotY: 304.6292}
{file: DummyMale_Running-24.png; pivotX: 124.1711; pivotY: 304.9145}
{file: DummyMale_Running-25.png; pivotX: 132.3747; pivotY: 305.5702}
{file: DummyMale_Running-26.png; pivotX: 139.9236; pivotY: 306.9046}
{file: DummyMale_Running-27.png; pivotX: 146.3451; pivotY: 306.6818}
{file: DummyMale_Running-28.png; pivotX: 150.5938; pivotY: 304.8742}
{file: DummyMale_Running-29.png; pivotX: 152.3602; pivotY: 304.7437}
{file: DummyMale_Running-30.png; pivotX: 151.5894; pivotY: 304.0374}
{file: DummyMale_Running-31.png; pivotX: 148.8247; pivotY: 304.3771}
{file: DummyMale_Running-32.png; pivotX: 143.8692; pivotY: 305.1937}
{file: DummyMale_Running-33.png; pivotX: 136.477; pivotY: 304.2272}
{file: DummyMale_Running-34.png; pivotX: 126.6513; pivotY: 302.8318}
{file: DummyMale_Running-35.png; pivotX: 115.5708; pivotY: 302.2296}
{file: DummyMale_Running-36.png; pivotX: 103.4579; pivotY: 301.3614}
{file: DummyMale_Running-37.png; pivotX: 90.66016; pivotY: 300.4008}
{file: DummyMale_Running-38.png; pivotX: 76.68046; pivotY: 299.5349}
{file: DummyMale_Running-39.png; pivotX: 68.55593; pivotY: 298.3381}
