{file: DummyMale_Running_Stop-0.png; pivotX: 80.41679; pivotY: 298.2462}
{file: DummyMale_Running_Stop-1.png; pivotX: 90.44041; pivotY: 299.1759}
{file: DummyMale_Running_Stop-2.png; pivotX: 105.0214; pivotY: 299.9078}
{file: DummyMale_Running_Stop-3.png; pivotX: 123.7168; pivotY: 301.1172}
{file: DummyMale_Running_Stop-4.png; pivotX: 134.8113; pivotY: 302.0635}
{file: DummyMale_Running_Stop-5.png; pivotX: 145.2552; pivotY: 302.7219}
{file: DummyMale_Running_Stop-6.png; pivotX: 149.6784; pivotY: 303.3282}
{file: DummyMale_Running_Stop-7.png; pivotX: 153.6767; pivotY: 302.8139}
{file: DummyMale_Running_Stop-8.png; pivotX: 151.979; pivotY: 303.9425}
{file: DummyMale_Running_Stop-9.png; pivotX: 144.5563; pivotY: 305.1472}
{file: DummyMale_Running_Stop-10.png; pivotX: 131.5267; pivotY: 304.1331}
{file: DummyMale_Running_Stop-11.png; pivotX: 116.8809; pivotY: 300.884}
{file: DummyMale_Running_Stop-12.png; pivotX: 101.7334; pivotY: 299.3101}
{file: DummyMale_Running_Stop-13.png; pivotX: 83.33081; pivotY: 297.0055}
{file: DummyMale_Running_Stop-14.png; pivotX: 62.47499; pivotY: 294.2213}
{file: DummyMale_Running_Stop-15.png; pivotX: 64.47647; pivotY: 291.1834}
{file: DummyMale_Running_Stop-16.png; pivotX: 61.4961; pivotY: 289.3465}
{file: DummyMale_Running_Stop-17.png; pivotX: 58.54326; pivotY: 285.702}
{file: DummyMale_Running_Stop-18.png; pivotX: 56.88181; pivotY: 283.1557}
{file: DummyMale_Running_Stop-19.png; pivotX: 62.29044; pivotY: 281.6136}
{file: DummyMale_Running_Stop-20.png; pivotX: 67.59743; pivotY: 280.9116}
{file: DummyMale_Running_Stop-21.png; pivotX: 73.23695; pivotY: 280.1728}
{file: DummyMale_Running_Stop-22.png; pivotX: 78.08434; pivotY: 279.7942}
{file: DummyMale_Running_Stop-23.png; pivotX: 82.35222; pivotY: 278.3311}
{file: DummyMale_Running_Stop-24.png; pivotX: 86.56001; pivotY: 278.6412}
