{file: DummyMale_Running_Stop-0.png; posX: 0; posY: 0}
{file: DummyMale_Running_Stop-1.png; posX: 0.04844402; posY: 0.006229341}
{file: DummyMale_Running_Stop-2.png; posX: 0.1089821; posY: 0.01496106}
{file: DummyMale_Running_Stop-3.png; posX: 0.2058815; posY: 0.02738059}
{file: DummyMale_Running_Stop-4.png; posX: 0.3147167; posY: 0.04010946}
{file: DummyMale_Running_Stop-5.png; posX: 0.4170392; posY: 0.04866421}
{file: DummyMale_Running_Stop-6.png; posX: 0.5191849; posY: 0.05257249}
{file: DummyMale_Running_Stop-7.png; posX: 0.6251234; posY: 0.05136204}
{file: DummyMale_Running_Stop-8.png; posX: 0.7311428; posY: 0.04456043}
{file: DummyMale_Running_Stop-9.png; posX: 0.8343319; posY: 0.03169543}
{file: DummyMale_Running_Stop-10.png; posX: 0.9363592; posY: 0.01421237}
{file: DummyMale_Running_Stop-11.png; posX: 1.039201; posY: -0.005738199}
{file: DummyMale_Running_Stop-12.png; posX: 1.140406; posY: -0.02757102}
{file: DummyMale_Running_Stop-13.png; posX: 1.237525; posY: -0.05070078}
{file: DummyMale_Running_Stop-14.png; posX: 1.328109; posY: -0.07454216}
{file: DummyMale_Running_Stop-15.png; posX: 1.409706; posY: -0.09850991}
{file: DummyMale_Running_Stop-16.png; posX: 1.485648; posY: -0.1220188}
{file: DummyMale_Running_Stop-17.png; posX: 1.562129; posY: -0.1428932}
{file: DummyMale_Running_Stop-18.png; posX: 1.640992; posY: -0.1596326}
{file: DummyMale_Running_Stop-19.png; posX: 1.724079; posY: -0.1726635}
{file: DummyMale_Running_Stop-20.png; posX: 1.813234; posY: -0.1824125}
{file: DummyMale_Running_Stop-21.png; posX: 1.90551; posY: -0.1893063}
{file: DummyMale_Running_Stop-22.png; posX: 1.996082; posY: -0.1937714}
{file: DummyMale_Running_Stop-23.png; posX: 2.083975; posY: -0.1962345}
{file: DummyMale_Running_Stop-24.png; posX: 2.168213; posY: -0.1971222}
{file: DummyMale_Running_Stop-25.png; posX: 2.247821; posY: -0.1968611}
{file: DummyMale_Running_Stop-26.png; posX: 2.321824; posY: -0.1949319}
{file: DummyMale_Running_Stop-27.png; posX: 2.389246; posY: -0.1907277}
{file: DummyMale_Running_Stop-28.png; posX: 2.449112; posY: -0.1845435}
{file: DummyMale_Running_Stop-29.png; posX: 2.503292; posY: -0.1766743}
{file: DummyMale_Running_Stop-30.png; posX: 2.55432; posY: -0.1674151}
{file: DummyMale_Running_Stop-31.png; posX: 2.60222; posY: -0.157061}
{file: DummyMale_Running_Stop-32.png; posX: 2.647016; posY: -0.1459069}
{file: DummyMale_Running_Stop-33.png; posX: 2.68873; posY: -0.134248}
{file: DummyMale_Running_Stop-34.png; posX: 2.727386; posY: -0.1223792}
{file: DummyMale_Running_Stop-35.png; posX: 2.763007; posY: -0.1105956}
{file: DummyMale_Running_Stop-36.png; posX: 2.795617; posY: -0.09919214}
{file: DummyMale_Running_Stop-37.png; posX: 2.825239; posY: -0.08846396}
{file: DummyMale_Running_Stop-38.png; posX: 2.851897; posY: -0.07870603}
{file: DummyMale_Running_Stop-39.png; posX: 2.875614; posY: -0.07021326}
{file: DummyMale_Running_Stop-40.png; posX: 2.896412; posY: -0.06346774}
{file: DummyMale_Running_Stop-41.png; posX: 2.914317; posY: -0.05859208}
{file: DummyMale_Running_Stop-42.png; posX: 2.92935; posY: -0.05534214}
{file: DummyMale_Running_Stop-43.png; posX: 2.941536; posY: -0.05347389}
{file: DummyMale_Running_Stop-44.png; posX: 2.950898; posY: -0.05274343}
{file: DummyMale_Running_Stop-45.png; posX: 2.957458; posY: -0.05290669}
{file: DummyMale_Running_Stop-46.png; posX: 2.961242; posY: -0.05371964}
{file: DummyMale_Running_Stop-47.png; posX: 2.963413; posY: -0.05493826}
{file: DummyMale_Running_Stop-48.png; posX: 2.965142; posY: -0.05631858}
{file: DummyMale_Running_Stop-49.png; posX: 2.966465; posY: -0.05761653}
{file: DummyMale_Running_Stop-50.png; posX: 2.967415; posY: -0.05858809}
{file: DummyMale_Running_Stop-51.png; posX: 2.968025; posY: -0.05898929}
{file: DummyMale_Running_Stop-52.png; posX: 2.968329; posY: -0.05903924}
{file: DummyMale_Running_Stop-53.png; posX: 2.968361; posY: -0.05911696}
{file: DummyMale_Running_Stop-54.png; posX: 2.968154; posY: -0.05921847}
{file: DummyMale_Running_Stop-55.png; posX: 2.967743; posY: -0.05933964}
{file: DummyMale_Running_Stop-56.png; posX: 2.96716; posY: -0.05947649}
{file: DummyMale_Running_Stop-57.png; posX: 2.96644; posY: -0.05962491}
{file: DummyMale_Running_Stop-58.png; posX: 2.965617; posY: -0.05978084}
{file: DummyMale_Running_Stop-59.png; posX: 2.964724; posY: -0.05994016}
{file: DummyMale_Running_Stop-60.png; posX: 2.963794; posY: -0.06009889}
{file: DummyMale_Running_Stop-61.png; posX: 2.962862; posY: -0.0602529}
{file: DummyMale_Running_Stop-62.png; posX: 2.961962; posY: -0.06039822}
{file: DummyMale_Running_Stop-63.png; posX: 2.961126; posY: -0.06053066}
{file: DummyMale_Running_Stop-64.png; posX: 2.960389; posY: -0.0606463}
{file: DummyMale_Running_Stop-65.png; posX: 2.959784; posY: -0.06074095}
