{file: DummyMale_Standing_Block-0.png; pivotX: 91.10893; pivotY: 313.936}
{file: DummyMale_Standing_Block-1.png; pivotX: 90.27404; pivotY: 317.6502}
{file: DummyMale_Standing_Block-2.png; pivotX: 93.69719; pivotY: 320.6306}
{file: DummyMale_Standing_Block-3.png; pivotX: 100.0284; pivotY: 322.5763}
{file: DummyMale_Standing_Block-4.png; pivotX: 105.0547; pivotY: 324.6204}
{file: DummyMale_Standing_Block-5.png; pivotX: 109.2078; pivotY: 325.9256}
{file: DummyMale_Standing_Block-6.png; pivotX: 112.0057; pivotY: 327.1079}
{file: DummyMale_Standing_Block-7.png; pivotX: 112.7982; pivotY: 327.7406}
{file: DummyMale_Standing_Block-8.png; pivotX: 113.4418; pivotY: 328.3817}
{file: DummyMale_Standing_Block-9.png; pivotX: 113.5393; pivotY: 329.0297}
{file: DummyMale_Standing_Block-10.png; pivotX: 113.8638; pivotY: 329.7692}
{file: DummyMale_Standing_Block-11.png; pivotX: 114.6008; pivotY: 329.7735}
{file: DummyMale_Standing_Block-12.png; pivotX: 114.4565; pivotY: 329.7304}
{file: DummyMale_Standing_Block-13.png; pivotX: 114.5244; pivotY: 330.556}
{file: DummyMale_Standing_Block-14.png; pivotX: 114.6576; pivotY: 330.557}
{file: DummyMale_Standing_Block-15.png; pivotX: 114.814; pivotY: 330.6632}
{file: DummyMale_Standing_Block-16.png; pivotX: 115.4716; pivotY: 330.8429}
{file: DummyMale_Standing_Block-17.png; pivotX: 115.6079; pivotY: 330.0961}
{file: DummyMale_Standing_Block-18.png; pivotX: 116.2404; pivotY: 330.3169}
{file: DummyMale_Standing_Block-19.png; pivotX: 116.3994; pivotY: 330.5038}
